"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Mar 1, 2026 12:00:20 AM PST","25788732721","Order","111-0003953-4639442","305140-PEN","VIVOSUN Digital pH and TDS Meter Kits, 0.01pH High Accuracy Pen Type pH Meter ± 2% Readout Accuracy 3-in-1 TDS EC Temperature Meter for Hydroponics,","1","amazon.com","Standard Orders","Amazon","BAY CITY","MI","48706","MarketplaceFacilitator","18.04","1.08","0","0","0","0","0","0","0","0","-1.08","-2.16","-4.42","0","0","11.46","Released","Mar 1, 2026 12:00:20 AM PST"
"Mar 1, 2026 12:00:28 AM PST","25788732721","Order","114-8677714-7091410","332572J","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Fountain Pump with 10ft. High Lift with 6.5ft. Power Cord, 3 Nozzles for Fish Tank, P","1","amazon.com","Standard Orders","Amazon","KATY","TX","77494","MarketplaceFacilitator","22.49","1.86","1.00","0","0","0","0","0","-1.00","0","-1.86","-3.37","-5.80","0","0","13.32","Released","Mar 1, 2026 12:00:28 AM PST"
"Mar 1, 2026 12:00:57 AM PST","25788732721","Order","113-4038579-8757064","HR-0000B","VIVOSUN Outdoor Handrail, 2 Step Stair Handrail, 26"" x 36"" Fits 1 to 2 Steps, Wrought Mattle Iron Stair Railing with Curved Ends and Balusters for Con","1","amazon.com","Standard Orders","Amazon","WAXHAW","NC","28173","MarketplaceFacilitator","67.99","4.59","0","0","0","0","0","0","0","0","-4.59","-10.20","-14.67","0","0","43.12","Released","Mar 1, 2026 12:00:57 AM PST"
"Mar 1, 2026 12:01:10 AM PST","25788732721","Order","114-6236662-7998667","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","LIBERTY CENTER","OH","43532","MarketplaceFacilitator","25.19","1.83","2.99","0","0","0","0","0","-2.99","0","-1.83","-3.78","-5.47","0","0","15.94","Released","Mar 1, 2026 12:01:10 AM PST"
"Mar 1, 2026 12:01:25 AM PST","25788732721","Order","112-7757864-1217814","CC-001-3","VIVOSUN Coco Coir Brick, 1.4lbs 100% Natural Organic Compressed Coconut Coir Fiber with Low EC, PH Balance & High Nutrition, Coconut Fiber Substrate,","1","amazon.com","Standard Orders","Amazon","SPRING HILL","TN","37174","MarketplaceFacilitator","16.19","1.58","0","0","0","0","0","0","0","0","-1.58","-2.43","-7.14","0","0","6.62","Released","Mar 1, 2026 12:01:25 AM PST"
"Mar 1, 2026 12:01:57 AM PST","25788732721","Adjustment","","NB-001J","FBA Inventory Reimbursement - Damaged:Warehouse","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.03","11.03","Released","Mar 1, 2026 12:01:57 AM PST"
"Mar 1, 2026 12:02:05 AM PST","25788732721","Adjustment","","NB-001J","FBA Inventory Reimbursement - Damaged:Warehouse","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.03","11.03","Released","Mar 1, 2026 12:02:05 AM PST"
"Mar 1, 2026 12:02:59 AM PST","25788732721","Order","113-8239603-9621009","PP-30-1","VIVOSUN Peat Pots, 30 Packs 3.15-Inch Seed Starting Pots with Drainage Holes, Round Nursery Pot, 20 Plant Labels for Flowers, Plants, Vegetables, 30Pc","1","amazon.com","Standard Orders","Amazon","LAS VEGAS","NV","89123","MarketplaceFacilitator","9.99","0.84","0.60","0","0","0","0","0","-0.60","0","-0.84","-1.50","-3.78","0","0","4.71","Released","Mar 1, 2026 12:02:59 AM PST"
"Mar 1, 2026 12:03:43 AM PST","25788732721","Order","112-5376093-2041053","VSE-ASH05","VIVOSUN AeroStream H05 Intelligent Wi-Fi Humidifier, 1.32 Gal / 5 L Humidifier with Temp & Humidity Probe, Smart Remote Control, Designed for Growers","1","amazon.com","Standard Orders","Amazon","XENIA","OH","45385","MarketplaceFacilitator","59.99","4.05","0","0","0","0","0","0","0","0","-4.05","-9.00","-9.70","0","0","41.29","Released","Mar 1, 2026 12:03:43 AM PST"
"Mar 1, 2026 12:03:56 AM PST","25788732721","Order","111-2719032-9179411","VSL-T52F-4","VIVOSUN 2ft Grow Lights for Indoor Plants Full Spectrum, LED Plant Lights 60W(4 X 15W), T5 Grow Light Strip for Seed Starting, Greenhouse, Hydroponics","1","amazon.com","Standard Orders","Amazon","SHAWNEE","KS","66203","MarketplaceFacilitator","35.99","3.46","0.60","0","0","0","0","0","-0.60","0","-3.46","-5.40","-9.44","0","0","21.15","Released","Mar 1, 2026 12:03:56 AM PST"
