"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with a start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"Apr 1, 2026 12:00:15 a.m. PDT","25978195091","Order","702-9702755-1211446","311001-3*5K","VIVOSUN 5-Pack 3 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.ca","Amazon","Toronto","Ontario","M8Z 3T","Combined TCS+MTC","17.99","2.34","0","0","0","0","0","0","0","0","-2.34","-2.70","-8.11","0","0","7.18","Released","Apr 1, 2026 12:00:15 a.m. PDT"
"Apr 1, 2026 12:04:26 a.m. PDT","25978195091","Order","702-5992917-5473855","311021-5x5KK","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","1","amazon.ca","Amazon","Mississauga","Ontario","L5B 4C","Combined TCS+MTC","18.89","2.46","2.94","0","0","0","0","0","-2.94","0","-2.46","-2.83","-7.59","0","0","8.47","Released","Apr 1, 2026 12:04:26 a.m. PDT"
"Apr 1, 2026 12:05:16 a.m. PDT","25978195091","Order","702-3850588-0881031","306104-48K","VIVOSUN 4 Inch 8 Feet Non-Insulated Flex Air Aluminum Ducting for HVAC Ventilation w/Two 4 Inch Stainless Steel Clamps","1","amazon.ca","Amazon","Canim Lake","BC","V0K 1J","Combined TCS+MTC","16.99","2.04","2.28","0","0","0","0","0","-2.28","0","-2.04","-2.55","-7.12","0","0","7.32","Released","Apr 1, 2026 12:05:16 a.m. PDT"
"Apr 1, 2026 12:06:39 a.m. PDT","25978195091","Order","701-0826859-7857815","Spray-SX-CS4K","VIVOSUN 1 Gallon Pump Pressure Sprayer, 4L Pressurized Lawn & Garden Water Spray Bottle with 3 Water Nozzles, Adjustable Shoulder Strap, Pressure Reli","1","amazon.ca","Amazon","cambridge","ontario","N1R5E","Combined TCS+MTC","39.59","5.15","0","0","0","0","0","0","0","0","-5.15","-5.94","-11.25","0","0","22.40","Released","Apr 1, 2026 12:06:39 a.m. PDT"
"Apr 1, 2026 12:07:47 a.m. PDT","25978195091","Order","702-3686641-4313807","RC-0003K","VIVOSUN 1 Inch Rockwool Cubes, Grow Cubes for Hydroponics, Cuttings, Cloning, Plant Propagation, Seed Startling, 2 Sheets 100 Plugs","1","amazon.ca","Amazon","Port Dover","ON","N0A 1N","Combined TCS+MTC","15.99","2.08","0","0","0","0","0","0","0","0","-2.08","-2.40","-7.12","0","0","6.47","Released","Apr 1, 2026 12:07:47 a.m. PDT"
"Apr 1, 2026 12:08:21 a.m. PDT","25978195091","Order","701-3944987-8770625","330101-01K","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","amazon.ca","Amazon","Kitchener","Ontario","N2R 0B","Combined TCS+MTC","17.99","2.34","0","0","0","0","0","0","0","0","-2.34","-2.70","-6.73","0","0","8.56","Released","Apr 1, 2026 12:08:21 a.m. PDT"
"Apr 1, 2026 12:11:38 a.m. PDT","25978195091","Order","702-4198597-2363412","311001-20x5K","VIVOSUN 5-Pack 20 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.ca","Amazon","Pembroke","Ontario","K8A 2A","Combined TCS+MTC","29.69","3.86","0","0","0","0","0","0","0","0","-3.86","-4.45","-10.08","0","0","15.16","Released","Apr 1, 2026 12:11:38 a.m. PDT"
"Apr 1, 2026 12:13:40 a.m. PDT","25978195091","Order","702-9602003-4481849","VSV-WVK1K","VIVOSUN Window Duct Kit, Portable AC Window Seal Kit, Fit with 4""/6"" Ducting & 5.9"" Hose for Sliding Window, Adjustable AC Vent Kit for Duct Fans, Air","1","amazon.ca","Amazon","Windsor","Ontario","N9C 2T","Combined TCS+MTC","39.59","5.15","0","0","0","0","0","0","0","0","-5.15","-5.94","-10.26","0","0","23.39","Released","Apr 1, 2026 12:13:40 a.m. PDT"
"Apr 1, 2026 12:13:40 a.m. PDT","25978195091","Order","701-1861463-0719430","TN-55K","VIVOSUN Elastic 5 x 5Ft. Trellis Netting with 4 Hooks for Climbing Plants, Vegetables, Fruits, and Flowers, 1-Pack","1","amazon.ca","Amazon","North Vancouver","British Columbia","V7N 2C","Combined TCS+MTC","27.99","3.36","1.74","0","0","0","0","0","-1.74","0","-3.36","-4.20","-7.62","0","0","16.17","Released","Apr 1, 2026 12:13:40 a.m. PDT"
"Apr 1, 2026 12:16:58 a.m. PDT","25978195091","Order","702-6362233-4206665","311021-7x5JK","VIVOSUN 5-Pack 7 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","1","amazon.ca","Amazon","Pembroke","Ontario","K8A 4H","Combined TCS+MTC","20.69","2.69","0","0","0","0","0","0","0","0","-2.69","-3.10","-8.66","0","0","8.93","Released","Apr 1, 2026 12:16:58 a.m. PDT"
