"request-date","order-id","order-source","order-type","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","305130-PEN","X001CXZH71","Unsellable","1","0",,"1","0","0.84","USD"
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","311001-5x5NJ","X001F1MPD9","Unsellable","10","1",,"9","0","20.43","USD"
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","HR-0002A","X003WHI67X","Unsellable","1","1",,"0","0",,
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","HR-0000B","X003XOGWOJ","Unsellable","4","4",,"0","0",,
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","HR-0001B","X003XOJAP7","Unsellable","3","3",,"0","0",,
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","HR-0000J","X0042BCFMZ","Unsellable","1","1",,"0","0",,
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","HR-0002J","X0048EXVMT","Unsellable","1","1",,"0","0",,
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","HR-0001J","X0048F2XLX","Unsellable","1","1",,"0","0",,
"2026-04-30T10:11:45-07:00","BQJDHPFWyM","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-05-06T13:03:53-07:00","VSS-SP-456L36","X004CJNU3Z","Unsellable","1","1",,"0","0",,
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","305130-PEN","X001CXZH71","Unsellable","1","0",,"1","0","0.00","USD"
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","311001-5x5NJ","X001F1MPD9","Unsellable","10","0",,"10","0","0.00","USD"
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","HR-0002A","X003WHI67X","Unsellable","1","1",,"0","0",,
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","HR-0000B","X003XOGWOJ","Unsellable","4","4",,"0","0",,
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","HR-0001B","X003XOJAP7","Unsellable","3","3",,"0","0",,
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","HR-0002J","X0048EXVMT","Unsellable","1","1",,"0","0",,
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","HR-0001J","X0048F2XLX","Unsellable","1","1",,"0","0",,
"2026-04-30T07:07:03-07:00","f+ftzfkZuC","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-08T15:54:27-07:00","VSS-SP-456L36","X004CJNU3Z","Unsellable","1","1",,"0","0",,
"2026-04-29T16:03:02-07:00","7JAxPwWVut","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-04-29T18:50:27-07:00","HR-0001B","X003XOJAP7","Unsellable","1","1",,"0","0",,
"2026-04-29T16:03:02-07:00","7JAxPwWVut","Seller-configured Automated Unfulfillable Removal System","Return","Completed","2026-04-29T18:50:27-07:00","HR-0001J","X0048F2XLX","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","306104-62C","X002A34RA5","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","306109-8C","X002AJM7K1","Unsellable","1","0",,"1","0","0.00","USD"
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","GAT-002","X003S2D4I3","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","SDP-002","X003SAOOZ7","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","HR-0002A","X003WHI67X","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","HR-0002B","X003XOJ0V1","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","HR-0001B","X003XOJAP7","Unsellable","2","2",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","HR-0001J","X0048F2XLX","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","VSS-SP-3456L40","X004CJOX95","Unsellable","1","1",,"0","0",,
"2026-04-29T14:03:34-07:00","m+Vn7+398f","Seller-configured Automated Unfulfillable Removal System","Liquidations","Completed","2026-05-13T05:37:22-07:00","VSVC-AZG4E42APR","X004R4V5PF","Unsellable","1","0",,"1","0","0.00","USD"
"2026-04-29T03:59:12-07:00","ql4NfcdLUA","Automated Stranded Removal System","Disposal","Completed","2026-05-04T13:58:29-07:00","Amazon.Found.B0DCFFQ66D","B0DCFFQ66D","Sellable","1","0","1",,"0","3.95","USD"
"2026-04-28T23:34:38-07:00","20260429","Seller-initiated Manual Removal","Disposal","Pending","2026-04-29T00:04:06-07:00","330101-01K","X000U6HQI9","Unsellable","8","0","8",,"0","6.56","CAD"
"2026-04-28T23:34:38-07:00","20260429","Seller-initiated Manual Removal","Disposal","Pending","2026-04-29T00:04:06-07:00","311001-3*5K","X000WAEDTD","Unsellable","1","0","1",,"0","0.82","CAD"
"2026-04-28T23:34:38-07:00","20260429","Seller-initiated Manual Removal","Disposal","Pending","2026-04-29T00:04:06-07:00","311001-15x5K","X000WAEDU7","Unsellable","3","0","3",,"0","11.55","CAD"
