"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Apr 1, 2026 12:00:13 AM PDT","26013994431","Order","113-5749414-8439434","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","SAINT LOUIS","MO","63125","MarketplaceFacilitator","21.41","0.90","0","0","0","0","0","0","0","0","-0.90","-3.21","-5.47","0","0","12.73","Released","Apr 1, 2026 12:00:13 AM PDT"
"Apr 1, 2026 12:00:22 AM PDT","26013994431","Order","114-0144385-4677849","311001-5x5NJ","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","SULPHUR SPRINGS","TX","75482","MarketplaceFacilitator","13.59","1.12","0","0","0","0","0","0","0","0","-1.12","-2.04","-5.47","0","0","6.08","Released","Apr 1, 2026 12:00:22 AM PDT"
"Apr 1, 2026 12:00:23 AM PDT","26013994431","Order","113-9246580-8601056","330101NJ","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","amazon.com","Standard Orders","Amazon","BAD AXE","MI","48413","MarketplaceFacilitator","13.49","0.81","0","0","0","0","0","0","0","0","-0.81","-2.02","-4.52","0","0","6.95","Released","Apr 1, 2026 12:00:23 AM PDT"
"Apr 1, 2026 12:00:36 AM PDT","26013994431","Order","114-6264770-5427453","306101W-4J","VIVOSUN D4 4 Inch 195 CFM Inline Duct Ventilation Fan, HVAC Vent Blower for Grow Tent, Attic, Basements or Kitchen, Hydroponics Exhaust Booster Fan","1","amazon.com","Standard Orders","Amazon","MARYSVILLE","WA","98271","MarketplaceFacilitator","27.99","2.63","0","0","0","0","0","0","0","0","-2.63","-4.20","-6.82","0","0","16.97","Released","Apr 1, 2026 12:00:36 AM PDT"
"Apr 1, 2026 12:00:41 AM PDT","26013994431","Order","113-0434536-4213865","311001-1x5NJ","VIVOSUN 5-Pack 1 Gallon Heavy Duty Thickened Nonwoven Fabric Pots Grow Bags with Handles","1","amazon.com","Standard Orders","Amazon","DELANO","CA","93215","MarketplaceFacilitator","11.04","0.91","1.50","0","0","0","0","0","-1.50","0","-0.91","-1.66","-4.52","0","0","4.86","Released","Apr 1, 2026 12:00:41 AM PDT"
"Apr 1, 2026 12:00:41 AM PDT","26013994431","Order","111-4436849-8748269","305131-PENJ","VIVOSUN Digital pH Meter, 0.01pH High Accuracy Pen Type pH Tester for Hydroponics, Household Drinking, Pool and Aquarium, Yellow, UL Certified","1","amazon.com","Standard Orders","Amazon","FAIRFIELD","CA","94533","MarketplaceFacilitator","9.99","0.84","0","0","0","0","0","0","0","0","-0.84","-1.20","-2.98","0","0","5.81","Released","Apr 1, 2026 12:00:41 AM PDT"
"Apr 1, 2026 12:01:20 AM PDT","26013994431","Order","113-2380945-5956257","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","METAMORA","MI","48455","MarketplaceFacilitator","21.41","1.28","0","0","0","0","0","0","0","0","-1.28","-3.21","-5.47","0","0","12.73","Released","Apr 1, 2026 12:01:20 AM PDT"
"Apr 1, 2026 12:01:21 AM PDT","26013994431","Order","114-6237067-7055461","VSL-LL100-N","VIVOSUN LumaLight 100W LED Grow Light, Full Spectrum Plant Light, Smart Dimmable & High PPFD for Indoor Plants Seedling Vegetables Bloom, Fits 2×2/2�","1","amazon.com","Standard Orders","Amazon","MEMPHIS","TN","38117","MarketplaceFacilitator","99.49","9.21","0","0","0","0","0","0","-4.98","0","-9.21","-14.18","-8.12","0","0","72.21","Released","Apr 1, 2026 12:01:21 AM PDT"
"Apr 1, 2026 12:01:27 AM PDT","26013994431","FBA Inventory Fee","mDtRAtxL7G","","FBA Removal Order: Return Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.84","-0.84","Released","Apr 1, 2026 12:01:27 AM PDT"
"Apr 1, 2026 12:01:31 AM PDT","26013994431","Order","114-7242295-1949847","332576J","VIVOSUN 400GPH Submersible Pump(1500L/H, 15W), Ultra Quiet Water Pump with 5.2ft High Lift, Fountain Pump with 5ft Power Cord, 3 Nozzles for Fish Tank","1","amazon.com","Standard Orders","Amazon","LIVERPOOL","NY","13088","MarketplaceFacilitator","15.29","1.22","0","0","0","0","0","0","0","0","-1.22","-2.29","-5.04","0","0","7.96","Released","Apr 1, 2026 12:01:31 AM PDT"
