日期,国家,Order ID,金额
2021-11-01,,113-1772691-3113843,84.99
,,111-3488815-7897015,49.89
,,111-1889150-5912233,49.99
,,112-1788828-4708258,12.99
,,702-6810716-7325834,64.98
,,112-8679334-9934630,43.17
,,112-6507523-6086653,17.04
,,701-0635293-0097850,24.99
,,111-8438875-1969026,21.32
2021-11-02,,701-5308162-0199421,16.99
,,114-0075856-5584243,20.0
,,113-4641346-5418656,164.84
,,113-6803836-5973051,83.11
,,113-8828396-0333868,202.89
,,112-7469657-5129826,6.0
,,113-9693753-7810627,25.99
,,113-6558453-5269868,23.99
,,702-3290520-5731422,33.89
,,114-1274267-5379462,69.99
,,113-3376207-2535466,12.99
,,111-3590142-1243444,79.98
2021-11-03,,112-7938730-1701034,318.74
,,113-9328064-7137804,12.99
,,111-5609108-5150601,94.99
,,114-0669393-4733009,19.99
,,113-2847138-1990621,13.4
,,114-0682176-6461824,76.98
,,114-0085648-3422631,13.44
,,113-5163838-3989001,20.0
,,114-1998480-3762609,40.36
,,113-5175308-9225066,51.99
,,113-6555312-7047465,13.4
,,112-1869424-8552214,79.01
,,111-0341439-9882666,33.47
,,113-0157021-0824253,18.01
,,112-1325179-4238633,13.22
,,701-9188216-2092221,56.49
,,111-4145363-9158636,16.5
,,113-9631105-2240243,28.99
,,112-5876999-7130627,40.0
2021-11-04,,113-9570620-4287417,75.99
,,111-6076709-2965034,29.99
,,112-9913079-3920226,23.98
,,111-4313549-5307436,16.95
,,114-1683953-8621019,142.03
,,702-3230947-4185828,19.2
,,701-7742305-3233808,55.71
,,111-7092143-3738657,90.94
,,702-5757481-5111433,70.0
,,701-8130525-9228230,39.69
,,702-3068928-3861802,44.78
,,112-9672499-0763447,72.52
,,113-9039855-8490657,18.39
,,112-2060766-9269043,19.99
,,113-2427928-0080209,19.99
,,111-2904905-3249860,15.99
2021-11-05,,114-4638882-1183439,40.0
,,113-8052794-9893838,24.69
,,111-0214410-1579400,16.99
,,701-7565542-8841069,97.17
,,701-1778310-9069028,31.49
,,701-8616221-6689859,60.0
,,702-2160488-0691428,10.0
,,111-3332391-7925045,20.0
,,113-2213406-6934645,14.46
,,114-2429298-9085801,133.86
,,114-8475008-6919404,61.99
,,112-1100439-1584256,60.0
,,111-2853905-8202635,36.98
2021-11-06,,111-8386705-0693800,15.0
,,113-2277970-1653820,44.99
,,702-7630226-3816204,59.99
,,114-5504331-3868263,5.0
,,111-8165045-3278634,142.99
,,112-7951433-1821839,24.99
,,113-1194474-3106665,40.99
,,114-3562400-5425051,19.99
,,113-9412452-0368243,12.99
,,113-4099378-3744206,80.0
,,112-6205571-7804252,64.98
,,702-8500605-7688219,20.0
2021-11-07,,114-0485929-1618626,11.0
,,114-4913067-2474610,15.99
,,113-7521745-4505031,16.99
,,114-0508074-6596263,40.99
,,111-8537133-6610612,50.14
2021-11-08,,111-9182925-5633823,24.48
,,113-6948182-2122632,27.85
,,112-9078093-5664205,17.81
,,113-7893912-1855434,27.81
,,113-6395658-8600212,40.46
,,114-8069387-2795465,79.48
,,112-3676120-2620252,15.19
,,114-1669963-4599431,20.0
,,113-8635619-1402632,31.16
,,114-6062453-4269058,12.5
,,112-4143293-0347465,10.0
,,112-9939952-1839451,12.99
,,113-2260983-5840200,12.45
