"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2026-05-15T07:04:49+00:00","22042605471",,,"Damaged_Warehouse","VG-Y18B","X0040AZHNR","B0CL9VRP1C","VGrow All-in-One Smart Grow Box, Professional System with Samsung LM301H EVO Grow Light, Advanced Circulation & Ventilation System, Irrigation, Nutrient, Magnetic Window for Indoor Hydroponics","NewItem","USD","203.60","203.60","1","0","1",,
"2026-05-15T06:34:36+00:00","22042870401",,"114-6403151-5928217","CustomerReturn","311001-5x5NJ","X001F1MPD9","B00TF9E6XE","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","NewItem","USD","7.25","7.25","1","0","1",,
"2026-05-15T06:16:08+00:00","22041847071",,"111-5945880-9358642","CustomerReturn","VSGBS-20x3","X003ZWTS77","B0CKWV77WQ","VIVOSUN 3-Pack 3-Grid 20 Gallon Grow Bags, Heavy Duty Square Plant Grow Pots, 400G Thickened Breathable Fabric Plant Container with Reinforced Handles & 10 Pcs Plant Labels for Flowers, Vegetables","NewItem","USD","13.07","13.07","1","0","1",,
"2026-05-15T06:02:01+00:00","22041827381",,"702-3663357-8445836","CustomerReturn","304113-88K","X002HFS92D","B07PDZ3TCS","VIVOSUN 8x8 Grow Tent, 96""x96""x80"" High Reflective Mylar with Observation Window and Floor Tray for Hydroponics Indoor Plant Growing for VS4000/VS4300","NewItem","CAD","307.87","307.87","1","0","1",,
"2026-05-15T05:52:22+00:00","22042489791",,,"Damaged_Warehouse","306104-68J","X001PQPWOD","B07B7HCHR2","VIVOSUN 6 Inch Flex Air Aluminum Ducting for HVAC Ventilation with 2 Stainless Steel Clamps, 8 Feet Long Multi-Layer Dryer Hose Vent Kit for Duct Fan Systems","NewItem","USD","4.31","4.31","1","0","1",,
"2026-05-15T05:52:21+00:00","22045564841",,,"Damaged_Warehouse","306104-68J","X001PQPWOD","B07B7HCHR2","VIVOSUN 6 Inch Flex Air Aluminum Ducting for HVAC Ventilation with 2 Stainless Steel Clamps, 8 Feet Long Multi-Layer Dryer Hose Vent Kit for Duct Fan Systems","NewItem","USD","4.31","4.31","1","0","1",,
"2026-05-15T05:50:27+00:00","22043520621",,"112-8110950-1666642","CustomerReturn","330101NJ","X001YUGJ3X","B00P7U259C","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","NewItem","USD","8.06","8.06","1","0","1",,
"2026-05-15T05:44:33+00:00","22045667081",,,"Damaged_Warehouse","SPray-80LJ","X0024GXC09","B07QVWQ1HC","VIVOSUN Pump Sprayer 2 Gallon, Pressurized Lawn & Garden Water Spray Bottle with Adjustable Shoulder Strap, Pressure Relief Valve, for Spraying Plants, Garden Watering and Cleaning","NewItem","USD","10.48","10.48","1","0","1",,
"2026-05-15T05:33:35+00:00","22045670921",,"111-1839957-0758635","CustomerReturn","311001-5x5NJ","X001F1MPD9","B00TF9E6XE","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","NewItem","USD","7.93","7.93","1","0","1",,
"2026-05-15T05:26:32+00:00","22041773301",,"112-3364504-9975440","CustomerReturn","331101-6","X000YYF4A9","B01C82SZRM","VIVOSUN 6 Inch Inline Duct Fan 240 CFM, HVAC Exhaust Ventilation Fan with Low Noise for Basements, Bathrooms, Kitchens and Attics, Silver","NewItem","USD","17.88","17.88","1","0","1",,
