"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-365-plus-days","estimated-ais-365-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-04-30","306104-6CK","X0018L0WB3","B010UCCMW6","VIVOSUN 6 Inch 25 Feet Non-Insulated Flex Air Aluminum Duct for Ventilation, 2 Clamps Included","New","68","0","74","0","0","0","0","CAD","14","78","163","227","","29.99","0.0","29.99","0.0","NoExcessInventory","230","0.0","0","0","0.0","4.16","0.327672","cubic feet","Standard","22.281696","CA","gl_home_improvement","6988","74","0","11","12","28.49","404.86","2230.52","4694.32","6591.33","46","28","0","0","0","69.77","154","30","124","0","41","6","","","","","","","","","","","","","","","28.6","188","2026-06-29","2026-04-27","No","No","28.6","20.2","2026-04-27","260","38","1","2","87","N","","",""
"2026-04-30","OUL-001-12K","X004AUSWJD","B0CGL8SV7B","VIVOSUN Outdoor LED Grow Lights, Waterproof String Grow Light, Full Spectrum Plant Growing Lights with 44Ft Adjustable Cord for Seedling, Veg, Flower in Greenhouse, Garden, Backyard, Farm (12-Light)","New","10","0","11","0","0","0","0","CAD","5","19","61","77","","129.99","0.0","129.99","0.0","CreateShippingPlan","10","0.0","0","0","0.0","2.63","0.680556","cubic feet","Oversize","6.80556","CA","gl_home","20594","14","0","2","1","129.99","649.95","2248.28","6517.86","8350.64","10","1","0","0","0","1.66","0","0","0","0","1","0","","","","","","","","","","","","","","","41.8","39","2026-05-01","2026-04-27","Yes","No","26.8","41.8","2026-04-27","10","0","0","1","16","N","","",""
"2026-04-30","311001-10x10K","X003DQFSFV","B08HRSGQV7","VIVOSUN 10-Pack 10 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","New","3","0","17","0","0","0","0","CAD","16","92","144","160","","39.99","0.0","39.99","0.0","GoToRestock","31","0.0","0","0","0.0","3.67","0.417631","cubic feet","Standard","1.252893","CA","gl_home","1086","10","0","1","3","39.99","639.84","3679.08","5758.56","6398.4","17","0","0","0","0","6.06","42","14","14","14","10","0","","","","","","","","","","","","","","","36.3","102","2026-04-30","2026-04-27","No","No","19.0","36.3","2026-04-27","45","0","10","0","20","N","","",""
"2026-04-30","332569K","X002B0KETF","B07FK343K8","VIVOSUN 5300 GPH Submersible Water Pump, 310W Pond Pump, Ultra Quiet Aquarium Pump with 20FT. Lift Height for Pond Waterfall, Fish Tank, Statuary, or Hydroponics","New","2","0","1","1","2","0","0","CAD","10","33","56","59","","149.99","0.0","134.99","0.0","NoRestockExcessActionRequired","2","0.0","0","0","0.0","1.4","0.474629","cubic feet","Standard","0.949258","CA","gl_tools","699","77","0","23","41","134.99","1379.9","4244.67","7539.24","7974.21","0","0","1","2","0","0.25","188","88","0","100","2","1","0","0.0","0","0.0","2","1.94","0","0.0","0","0.0","0","0.0","0","0.0","77.3","51","2026-07-01","2026-04-27","Yes","No","28.9","77.3","2026-04-27","190","0","2","0","281","N","","",""
"2026-04-30","330704-04K","X003FHDSOL","B0BCVM2P9K","VIVOSUN 5 x 15 ft. Plant Trellis Netting, Heavy-Duty Polyester Grow Net, Garden Trellis Netting with Square Mesh for Climbing Plants, Vegetables, Fruits, and Flowers, 1-Pack","New","477","0","452","0","40","0","0","CAD","25","70","96","103","","11.99","0.0","10.39","0.0","NoExcessInventory","479","0.0","0","0","0.0","0.38","0.017045","cubic feet","Standard","8.130465","CA","gl_home","359","366","0","27","60","10.39","259.75","773.7","1070.44","1154.37","301","150","1","40","0","11.32","0","0","0","0","4","1","0","0.0","1","0.02","39","1.36","0","0.0","0","0.0","0","0.0","0","0.0","190.4","0","","2026-04-27","No","No","135.2","190.4","2026-04-27","479","2","1","1","366","N","","",""
"2026-04-30","311021-1x5K","X002PDVLJZ","B08869D3HP","VIVOSUN 5-Pack 1 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","New","73","0","74","0","0","0","0","CAD","11","35","60","69","","16.99","0.0","16.99","0.0","NoRestockExcessActionRequired","73","0.0","0","0","0.0","0.92","0.094077","cubic feet","Standard","6.867621","CA","gl_home","15","90","0","14","23","16.99","182.93","578.79","998.44","1151.35","0","54","20","0","0","6.03","54","54","0","0","0","1","","","","","","","","","","","","","","","104.9","29","2026-07-15","2026-04-27","No","No","78.9","104.9","2026-04-27","127","0","0","0","229","N","","",""
"2026-04-30","SPray-70LK","X00289XXFV","B07QQ3KYJC","VIVOSUN 1.8-Gallon Pump Sprayer, Pressurized Lawn & Garden Sprayer with Adjustable Shoulder Strap for Plants, Garden Watering and Household Cleaning","New","27","0","17","11","0","0","0","CAD","12","77","97","129","","49.99","0.0","42.49","0.0","CreateShippingPlan","27","0.0","0","0","0.0","1.32","0.638164","cubic feet","Oversize","17.230428","CA","gl_lawn_and_garden","1538","9","0","1","2","49.99","577.38","3423.33","4365.63","5744.91","0","17","0","0","0","5.24","0","0","0","0","0","1","","","","","","","","","","","","","","","75.3","156","2026-05-01","2026-04-27","Yes","No","31.2","75.3","2026-04-27","27","0","0","0","9","N","","",""
"2026-04-30","332597K","X0043U75K7","B0CQJCG61Q","VIVOSUN 3000 GPH Submersible Water Pump with Barrier Bag, 150W Pond Pump with 18FT. Lift Height, Ultra Quiet Aquarium Pump for Pond, Waterfall, Fish Tank, Statuary, Hydroponic","New","14","0","23","0","0","0","0","CAD","5","23","27","32","","109.99","0.0","98.99","0.0","Create Outlet deal","8","87.99","2","0","2869.03","1.05","0.358837","cubic feet","Standard","5.023718","CA","gl_home_improvement","6415","276","0","22","52","98.99","494.95","2183.27","2573.73","3035.68","8","12","3","0","0","48.8","116","4","76","36","12","0","","","","","","","","","","","","","","","99.4","23","2027-01-16","2026-04-27","Yes","No","42.2","99.4","2026-04-27","142","12","0","0","288","N","","",""
"2026-04-30","VST-SP1-GL-CA","X004XK33XZ","B0G4MBQ2VD","VIVOSUN Grow Tent High CFM Kit, Heavy-Duty Mounting Bars, High Airflow Support Pole Kit 24""-36"" Adjustable, Suitable for 2’×2’, 2.3’×2.3’, 2.7’×2.7’, and 3’×3’ Tents, 4-Pack","New","16","0","19","0","0","0","0","CAD","2","7","15","15","","41.99","0.0","41.99","0.0","NoRestockExcessActionRequired","47","0.0","0","0","0.0","2.12","0.154652","cubic feet","Standard","2.474432","CA","gl_home","44572","205","0","31","47","41.99","83.98","293.93","629.85","629.85","19","0","0","0","0","6.33","39","10","20","9","2","0","","","","","","","","","","","","","","","38.7","9","2026-11-06","2026-04-27","Yes","No","38.7","33.0","2026-04-27","56","1","1","0","275","N","","",""
"2026-04-30","332583-35K","X0048FIP0B","B0D3PLFYCQ","VIVOSUN 660 GPH 35W Submersible Water Pump, with Adjustable Water Flow, 4.9ft Tubing, Additional Ceramic Shaft, and Outlet Adapters, for Fish Tanks, Aquariums, Hydroponics, Fountains","New","1","0","5","0","0","0","0","CAD","11","15","72","109","","36.99","0.0","33.29","0.0","NoRestockExcessActionRequired","145","0.0","0","0","0.0","5.54","0.113882","cubic feet","Standard","0.113882","CA","gl_home_improvement","4289","284","0","60","26","33.29","369.89","517.85","2526.38","3861.71","5","0","0","0","0","15.73","224","48","96","80","19","3","","","","","","","","","","","","","","","17.6","0","","2026-04-27","Yes","No","3.8","17.6","2026-04-27","241","16","1","2","366","N","","",""
