"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","DEPRECATED healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","no-sale-last-6-months","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)","supplier","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-04-30","306106-64J","X002EYTB0B","B082TX7PNB","VIVOSUN Stainless Steel Air Ducting Clamps, 6/8/12 Inch Adjustable Hose Clamps with Worm Drive for Ducting, Heating, Cooling, Exhaust, and Ventilation (Pack of 4)","New","69","0","70","0","0","0","0","0","USD","2","14","42","51","","14.99","0.0","10.44","0.0","NoExcessInventory","","0.0","0","0","0.0","0.73","0.075082","cubic feet","Standard","5.180658","US","gl_tools","30177","117","0","28","25","10.44","20.88","167.15","484.71","587.77","22","48","0","0","0","3.26","30","30","0","0","","1","1","","","","","","","","","","","","","","","","","111.3","56","Healthy","","","2026-04-27","Yes","No","98.5","111.3","2026-04-27","99","0","1","0","171","unassigned","N","","",""
"2026-04-30","VSK-GIYS448-US","X004T1F0FR","B0BY7Z72TR","VIVOSUN Smart Grow Tent Kit, 4 × 4ft 4-Plant System, WiFi-Integrated Automatic Grow System with Full Spectrum LED Grow Light, Efficient Ventilation System with GrowHub E42A+ Controller","New","43","0","61","0","0","0","0","0","USD","39","82","133","196","","719.99","0.0","579.99","550.99","NoRestockExcessActionRequired","","0.0","0","0","0.0","2.04","8.005208","cubic feet","Extra-large","344.223944","US","gl_lawn_and_garden","14023","54","0","7","10","579.99","23362.94","50341.84","82877.96","122693.33","16","45","0","0","0","126.09","111","44","67","0","","6","1","","","","","","","","","","","","","","","","","52.6","18","Healthy","","","2026-04-27","Yes","No","44.5","52.6","2026-04-27","154","0","2","4","63","unassigned","N","","",""
"2026-04-30","HM003J","X003DEYP6B","B0BBYX2XZ9","VIVOSUN Reptile Heating Pad 8x18 Inch with Thermostat Combo Under Tank Terrarium Heating Mat for Turtles, Lizards, Frogs, and Other Reptiles","New","78","0","146","0","0","0","0","0","USD","36","192","392","586","","39.99","0.0","39.99","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","2.5","0.091592","cubic feet","Standard","7.144176","US","gl_pet_products","15907","58","0","10","11","39.99","1436.64","7193.08","14718.58","22438.77","64","82","0","0","0","4.06","420","220","100","100","","61","0","","","","","","","","","","","","","","","","","36.4","169","Low stock","","","2026-04-27","Yes","No","34.9","36.4","2026-04-27","555","57","2","2","99","unassigned","N","","",""
"2026-04-30","CHTrimer-02J","X003FU7E2Z","B0BJV7B8BY","VIVOSUN 20"" Cordless Hedge Trimmer, 20V Electric Bush Trimmer, 1400 RPM Shrub Trimmer, Dual-Action Laser Blade, 3/5"" Cutting Capacity, Lightweight & Compact, 2Pcs Batteries and Fast Charger Included","","0","0","2","4","8","0","0","0","USD","5","113","127","140","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","","","0","0","","0.88","1.022211","cubic feet","Oversize","0.0","US","gl_lawn_and_garden","42423","0","0","4","12","60.91","279.95","6375.87","7415.73","8274.6","0","2","0","8","0","","130","130","0","0","","45","2","0","0.0","1","1.02","7","10.73","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","105.5","155","Out of stock","270","2026-05-06","2026-04-27","No","No","30.9","105.5","2026-04-27","130","0","45","0","60","unassigned","N","","",""
"2026-04-30","AqClean001J","X002A358ZD","B07WHW41BS","VIVOSUN Aquarium Gravel Cleaner Siphon Fish Tank Vacuum Cleaner with Fishing Net Long Nozzle Water Flow Controller - BPA Free","New","27","0","38","0","0","0","0","0","USD","5","18","18","38","Low traffic","9.99","0.0","9.99","0.0","NoExcessInventory","","0.0","0","0","0.0","2.41","0.125867","cubic feet","Standard","3.398409","US","gl_biss","66514","50","0","18","28","9.99","49.95","169.82","169.82","369.12","38","0","0","0","0","2.97","56","56","0","0","","9","0","","","","","","","","","","","","","","","","","56.7","65","Low stock","15","2026-05-07","2026-04-27","Yes","No","56.7","26.5","2026-04-27","91","8","1","0","115","unassigned","N","","",""
"2026-04-30","VSGBS-20x3","X003ZWTS77","B0CKWV77WQ","VIVOSUN 3-Pack 3-Grid 20 Gallon Grow Bags, Heavy Duty Square Plant Grow Pots, 400G Thickened Breathable Fabric Plant Container with Reinforced Handles & 10 Pcs Plant Labels for Flowers, Vegetables","New","0","0","23","0","0","0","0","0","USD","11","65","208","273","","23.99","0.0","0.0","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","5.05","0.311879","cubic feet","Standard","0.0","US","gl_biss","37552","34","0","17","13","23.99","263.39","1558.85","4987.95","6546.3","23","0","0","0","0","3.05","280","200","40","40","","49","0","","","","","","","","","","","","","","","","","14.3","159","Low stock","63","2026-05-06","2026-04-27","Yes","No","9.3","14.3","2026-04-27","309","29","0","20","115","unassigned","N","","",""
"2026-04-30","332021","X00296J9AV","B07VK287M6","VIVOSUN 30X 60X Illuminated Jewelers Loupe Foldable Magnifier with LED Light for Jewelry Gems Watches Coins Stamps Antiques White","New","700","0","927","0","0","0","0","0","USD","92","443","639","845","","11.99","0.0","11.99","0.0","NoExcessInventory","","0.0","0","0","0.0","1.0","0.008907","cubic feet","Standard","6.2349","US","gl_home","5058","86","0","10","18","11.99","1057.08","4639.97","6710.61","9058.15","485","243","199","0","0","6.87","480","240","240","0","","215","0","","","","","","","","","","","","","","","","","95.3","352","Healthy","","","2026-04-27","No","No","63.1","95.3","2026-04-27","1375","195","15","5","110","unassigned","N","","",""
"2026-04-30","VSV-AZT6E42APR","X004R4LSC5","B0BMTK8J3P","VIVOSUN T6 6"" Inline Duct Fan & Temperature Humidity Controller, E42A+ WiFi-App Control AeroZesh Grow Tent Fan& Smart Thermostat, 408 CFM EC Motor Exhaust Fan for Heating Cooling, Greenhouse Accessory","New","177","0","181","5","0","0","0","0","USD","22","85","137","180","","130.99","0.0","120.99","0.0","NoExcessInventory","","0.0","0","0","0.0","0.74","0.765531","cubic feet","Oversize","135.498987","US","gl_lawn_and_garden","26793","87","0","9","14","120.99","2661.78","10314.15","17371.53","23412.95","0","1","180","0","0","60.58","20","20","0","0","","6","1","","","","","","","","","","","","","","","","","134.6","40","Healthy","","","2026-04-27","Yes","No","94.9","134.6","2026-04-27","197","0","5","1","100","unassigned","N","","",""
"2026-04-30","HGKB-36","X002MLJR9L","B08GPXVHD8","VIVOSUN Wall-Mounted Hydroponic Grow Kit, 1 Layers 36 Plant Sites 4 Food-Grade PVC-U Pipes Hydroponics Planting System with Water Pump, Pump Timer, Nest Basket and Sponge for Leafy Vegetables","New","124","0","129","0","0","0","0","0","USD","7","78","150","212","","74.99","0.0","74.99","70.53","NoRestockExcessActionRequired","","0.0","0","0","0.0","1.12","0.916667","cubic feet","Oversize","113.666708","US","gl_lawn_and_garden","45249","105","0","7","8","74.99","465.99","4407.44","8350.22","11964.35","0","36","93","0","0","49.99","20","20","0","0","","3","0","","","","","","","","","","","","","","","","","84.0","75","Healthy","37","2026-05-06","2026-04-27","Yes","No","60.8","84.0","2026-04-27","144","0","3","0","128","unassigned","N","","",""
"2026-04-30","306106-84J","X002EYVEU1","B082V19Z4W","VIVOSUN Stainless Steel Air Ducting Clamps, 6/8/12 Inch Adjustable Hose Clamps with Worm Drive for Ducting, Heating, Cooling, Exhaust, and Ventilation (Pack of 4)","New","110","0","102","9","0","0","0","0","USD","5","9","19","25","","19.99","0.0","14.99","13.73","NoExcessInventory","","0.0","0","0","2.45","0.33","0.097006","cubic feet","Standard","10.67066","US","gl_tools","30177","346","0","57","67","14.99","75.9","136.97","294.17","392.16","50","51","1","0","0","7.28","20","20","0","0","","0","0","","","","","","","","","","","","","","","","","546.2","29","Healthy","","","2026-04-27","Yes","No","546.2","244.8","2026-04-27","130","0","0","0","366","unassigned","N","","",""
"2026-04-30","330103NJ","X001Z1N8F3","B01EMXI6VA","VIVOSUN Durable Waterproof Seedling Heat Mat 48"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","New","1498","0","1518","0","0","0","0","0","USD","59","684","2039","2988","","45.99","0.0","45.99","0.0","CreateShippingPlan","","0.0","0","0","0.0","1.28","0.126222","cubic feet","Oversize","189.080556","US","gl_lawn_and_garden","751","234","0","8","6","45.99","2564.51","29028.75","85040.08","123711.08","71","789","658","0","0","75.08","24","24","0","0","","12","7","","","","","","","","","","","","","","","","","72.3","374","Healthy","","","2026-04-27","No","No","72.3","70.2","2026-04-27","1522","0","11","1","238","unassigned","N","","",""
"2026-04-30","Amazon.Found.B0BZY3BT6R","B0BZY3BT6R","B0BZY3BT6R","VIVOSUN 2600 GPH Submersible Water Pump with Barrier Bag, Ultra Quiet 200W Pond Pump for Pond, Waterfall, Fish Tank, Statuary, Hydroponic, 20Ft. Lift Height","New","5","0","2","3","0","0","0","0","USD","0","0","0","0","Low conversion","94.99","0.0","85.49","0.0","Lower price","","0.0","0","0","0.0","0.8","0.579624","cubic feet","Standard","2.89812","US","gl_home_improvement","62775","2","0","","","85.49","0.0","0.0","0.0","0.0","2","0","0","0","0","0.52","0","0","0","0","","1","0","3","0.87","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","","1","Healthy","157","2026-05-07","","","","","406.0","2026-04-27","5","0","1","0","3","unassigned","N","","",""
"2026-04-30","311021-1x5NJ","X002IOJYKJ","B08869D3HP","VIVOSUN 5-Pack 1 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Strap Handles Tan","New","87","0","175","0","0","0","0","0","USD","67","304","492","585","","12.99","0.0","12.99","0.0","NoExcessInventory","","0.0","0","0","0.0","2.4","0.059148","cubic feet","Standard","5.145876","US","gl_lawn_and_garden","30","18","0","5","9","12.99","865.33","3882.46","6156.38","7325.75","175","0","0","0","0","2.79","325","324","0","1","","84","0","","","","","","","","","","","","","","","","","42.2","295","Low stock","258","2026-05-07","2026-04-27","No","No","24.6","42.2","2026-04-27","481","69","12","3","69","unassigned","N","","",""
