"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0BY2JKXC7","X0022GVOSP","VIVOSUN 4 x 4Ft. Rete Elastica a Traliccio con 4 Ganci per Piante Rampicanti, Ortaggi, Frutta e Fiori, 1-Pack","'MXP6'","IT","20.0","18.2","3.6","centimeters","0.18","kilograms","0.0013","cubic meters","Standard-Size","27.0","0.0","0.0354","2026-04","14.4","weeks","27.54","0.0","27.0","0.0354","0.9742","0.0","EUR","0.9742","Others","N","N","0.0","--","0.0"
"B01EUURUVM","X0023SZURD","VIVOSUN Condotto flessibile in alluminio per ventilazione, 10,2 cm, 2 morsetti inclusi, kit di sfiato multistrato per asciugatrice a lunga durata, sistemi di ventilazione","'MXP6'","IT","43.94","12.07","11.68","centimeters","0.79","kilograms","0.0062","cubic meters","Standard-Size","6.0","0.0","0.0372","2026-04","14.4","weeks","27.54","0.0","6.0","0.0372","1.0237","0.0","EUR","1.0237","Others","N","N","0.0","--","0.0"
"B07FKJNGSZ","X0023T25DJ","ducting-1 Ducting","'MXP6'","IT","34.49","12.09","11.3","centimeters","0.67","kilograms","0.0047","cubic meters","Standard-Size","3.0","0.0","0.0141","2026-04","14.4","weeks","27.54","0.0","3.0","0.0141","0.3894","0.0","EUR","0.3894","Others","N","N","0.0","--","0.0"
"B07WFDCYZL","X0023T6Q1L","VIVOSUN Confezione da 2 tubi flessibili in alluminio flessibile da 10,5 cm, non isolati, per ventilazione HVAC, con quattro morsetti in acciaio inossidabile da 10,5 cm","'MXP6'","IT","45.29","22.91","12.4","centimeters","1.55","kilograms","0.0129","cubic meters","Oversize","9.0","0.0","0.1158","2026-04","20.5","weeks","21.78","0.0","9.0","0.1158","2.52","0.0","EUR","2.52","Others","N","N","0.0","--","0.0"
"B010UCCR3A","X0023T6QNT","VIVOSUN Condotto flessibile in alluminio per condotti di ventilazione con 2 morsetti in acciaio inox da 20,3 cm, kit di sfiato per tubo flessibile per asciugatrice multistrato lungo e resistente,","'MXP6'","IT","32.8","22.2","21.8","centimeters","1.38","kilograms","0.0159","cubic meters","Standard-Size","9.0","0.0","0.1429","2026-04","14.4","weeks","27.54","0.0","9.0","0.1429","3.9335","0.0","EUR","3.9335","Others","N","N","0.0","--","0.0"
"B0DHGP2JQ8","X0026MTWX9","VIVOSUN Umidificatore per Piante 5L Smart Humidifier AeroStream H05 24dB Silenzioso Nebbia Fredda 360° 50h Top Fill Ultrasuoni Ideale per Grow Tent e Grow Box","'MXP6'","IT","37.9","23.19","20.19","centimeters","1.97","kilograms","0.0177","cubic meters","Standard-Size","1.0","0.37","0.0112","2026-04","14.4","weeks","27.54","0.0","0.63","0.0112","0.3094","0.0","EUR","0.3094","Others","N","N","0.0","--","0.0"
"B0D8PQQWM3","X00276V1V5","VIVOSUN GrowCam C4, fotocamera intelligente WiFi 2K QHD per Grow Tent e VGrow Smart Grow Box, supporta WiFi a 2,4 GHz (non 5 GHz/6 GHz), timelapse, visione notturna, archiviazione scheda SD, audio a 2","'MXP6'","IT","10.6","9.4","6.2","centimeters","0.28","kilograms","6.0E-4","cubic meters","Standard-Size","10.0","0.0","0.0062","2026-04","14.4","weeks","27.54","0.0","10.0","0.0062","0.1701","0.0","EUR","0.1701","Others","N","N","0.0","--","0.0"
"B07RBL1XJV","X002F0MTB9","VIVOSUN 2-Pack Indoor Hydroponics LED Grow Room Occhiali con Custodia per Occhiali","'MXP6'","IT","18.1","17.5","6.5","centimeters","0.24","kilograms","0.0021","cubic meters","Standard-Size","2.0","0.0","0.0041","2026-04","14.4","weeks","27.54","0.0","2.0","0.0041","0.1134","0.0","EUR","0.1134","Others","N","N","0.0","--","0.0"
"B0BQF728P7","X001VEMT83","VIVOSUN AeroZesh T4 Ventola Aspirazione 100mm Ventilatore da Condotto Estrazione 357 m³/h con Regolatore di Velocità E12 Controllo PWM, Programmabile per Tende di Coltivazione e Ventilazione Indoor","'PSR2'","IT","58.0","36.0","23.0","centimeters","2.19","kilograms","0.048","cubic meters","Oversize","5.0","0.0","0.2401","2026-04","20.5","weeks","21.78","0.0","5.0","0.2401","5.23","0.0","EUR","5.23","Others","N","N","0.0","--","0.0"
"B07QTHF9ZT","X001VKGPG9","VIVOSUN Spruzzatore Nebulizzatore Manuale a Pressione da 0,8L con Ugello in Ottone Regolabile, per Giardinaggio, Orto, Trattamenti Piante e Pulizia, Colore Verde","'PSR2'","IT","31.3","15.7","14.7","centimeters","0.39","kilograms","0.0072","cubic meters","Standard-Size","2.0","0.0","0.0144","2026-04","14.4","weeks","27.54","0.0","2.0","0.0144","0.3978","0.0","EUR","0.3978","Others","N","N","0.0","--","0.0"
"B07Y81DTTJ","X001VKL6RR","VIVOSUN Spruzzatore a Pressione 4L, Bottiglia a Pompa con 3 Ugelli per l'acqua, design della Scanalatura Dell'impugnatura, Valvola di Sicurezza, Cinghia di Trasporto, per prati, piante e Pulizia","'PSR2'","IT","40.9","18.8","18.7","centimeters","1.17","kilograms","0.0144","cubic meters","Standard-Size","15.0","0.0","0.2157","2026-04","14.4","weeks","27.54","0.0","15.0","0.2157","5.9387","0.0","EUR","5.9387","Others","N","N","0.0","--","0.0"
