"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"data/ora: data e ora della transazione pubblicata"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Nota: i report con data di inizio del 1° gennaio 2025 o successiva sono indicizzati in base alla data di pubblicazione, includono sia le transazioni di rilascio che quelle differite e contengono due nuove colonne. Potrebbe essere necessario aggiornare le integrazioni o le associazioni di terzi."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale","Stato della transazione","Data di rilascio della transazione"
"31 mar 2026 23:44:56 UTC","26822013862","Ordine","402-0380139-7107559","332022-EU","VIVOSUN Lente di Ingrandimento per Gioielliere 30X e 60X con LED, Pieghevoli in Alluminio e Plastica - per Ispezioni di Diamanti, Gioielli, Monete, Fr","1","amazon.it","Amazon","Perugia","Perugia","06124","MarketplaceFacilitator","15,57","3,42","1,64","0,36","0","0","-1,64","-0,36","-3,42","-1,52","-6,09","-0,05","0","7,91","Emesso","16 apr 2026 21:02:25 UTC"
"1 apr 2026 00:56:39 UTC","26822013862","Ordine","405-8896697-4305902","304113-NEW-32-EU","VIVOSUN Tenda da Coltivazione 90x50x160cm, in Mylar ad Alta Riflettenza, con Finestra di Osservazione e Vassoio da Pavimento, per Piante Idroponiche d","1","amazon.it","Venditore","Gerenzano","Varese","21040","MarketplaceFacilitator","67,61","14,88","0","0","0","0","0","0","-14,88","-12,37","0","-0,37","0","54,87","Emesso","15 apr 2026 18:09:03 UTC"
"1 apr 2026 01:07:34 UTC","26822013862","Ordine","405-0457225-4920314","VSAW400SE-EU-FBM","VIVOSUN AeroLight Wing AW400SE - Lampada a LED da 400 W, con ventola di traffico integrata, compatibile con applicazione, utilizzabile con controller","1","amazon.it","Venditore","NAPOLI","Napoli","80147","","404,99","0","0","0","0","0","0","0","0","-60,75","0","-1,82","0","342,42","Emesso","10 apr 2026 21:08:21 UTC"
"1 apr 2026 01:07:34 UTC","26822013862","Ordine","405-0457225-4920314","GT-Pole-EU-M","VIVOSUN Kit per la Coltivazione di Tende ad alta CFM, Gamma di pali verdi da 24""-48"", Adatto per Tende da Coltivazione da 2'x2', 3'x3', 4'x2' e 4'x4',","1","amazon.it","Venditore","NAPOLI","Napoli","80147","","49,99","0","0","0","0","0","0","0","0","-7,50","0","-0,23","0","42,26","Emesso","10 apr 2026 21:08:21 UTC"
"1 apr 2026 01:07:34 UTC","26822013862","Ordine","405-0457225-4920314","VSVC-AZT4E42AP-EU-FBM","VIVOSUN Kit Estrazione Ventilatore da Condotto 100mm AeroZesh T4 Pro con GrowHub E42A+ Controllo VPD Temperatura Umidità, Connessione APP Filtro a Ca","1","amazon.it","Venditore","NAPOLI","Napoli","80147","","229,99","0","0","0","0","0","0","0","0","-34,50","0","-1,04","0","194,45","Emesso","10 apr 2026 21:08:21 UTC"
"1 apr 2026 01:07:34 UTC","26822013862","Ordine","405-0457225-4920314","311005-3-EU-M","VIVOSUN Spruzzatore Nebulizzatore a Pressione 5 Litri con Cinghia Spalla Regolabile, per Irrorazione Piante, Irrigazione Giardino, Orto e Pulizia Dome","1","amazon.it","Venditore","NAPOLI","Napoli","80147","","35,99","0","0","0","0","0","0","0","0","-5,40","0","-0,16","0","30,43","Emesso","10 apr 2026 21:08:21 UTC"
"1 apr 2026 01:08:18 UTC","26822013862","Ordine","406-7325024-4081146","VSE-ASH05-EU-M","VIVOSUN Umidificatore per Piante 5L Smart Humidifier AeroStream H05 24dB Silenzioso Nebbia Fredda 360° 50h Top Fill Ultrasuoni Ideale per Grow Tent e","1","amazon.it","Venditore","Corbetta","MI","20011","","79,99","0","0","0","0","0","0","0","0","-12,00","0","-0,36","0","67,63","Emesso","15 apr 2026 21:53:04 UTC"
"1 apr 2026 01:08:18 UTC","26822013862","Ordine","406-7325024-4081146","VSE-ASH19-EU-M","VIVOSUN H19 Umidificatore Ambientale Intelligente da 19L con Sonda di Temperatura e Umidità, AeroStream H19 con Pannello di Controllo, Controllo Inte","1","amazon.it","Venditore","Corbetta","MI","20011","","219,99","0","0","0","0","0","0","0","0","-33,00","0","-0,99","0","186,00","Emesso","15 apr 2026 21:53:04 UTC"
"1 apr 2026 01:10:57 UTC","26822013862","Ordine","406-0988804-4215564","311001-3x5-EU","VIVOSUN confezione da 5 vasi in tessuto addensato da 12L per impieghi gravosi, sacchetto per piantine in tessuto non tessuto con manici per ortaggi, f","1","amazon.it","Venditore","Imola","Bologna","40026","MarketplaceFacilitator","14,75","3,24","0","0","0","0","0","0","-3,24","-2,70","0","-0,08","0","11,97","Emesso","10 apr 2026 22:27:28 UTC"
"1 apr 2026 01:11:23 UTC","26822013862","Ordine","405-0639316-6445913","LED-100-EU-M","VIVOSUN VS1000 Luce di Crescita a LED con diodi Samsung LM301 e driver Sosen Luci dimmerabili a spettro completo simile al sole per tende 2x2/3x3","2","amazon.it","Venditore","Gerenzano","Varese","21040","","219,98","0","0","0","0","0","0","0","0","-28,60","0","-0,86","0","190,52","Emesso","14 apr 2026 21:19:27 UTC"
