"Comprend les transactions Amazon Marketplace, Expédié par Amazon et Boutique en ligne Amazon"
"Tous les montants sont en EUR, sauf indication contraire"
"Définitions :"
"date/heure : date/heure postée de la transaction"
"Taxes de ventes prélevées : Inclut les taxes de vente prélevées auprès des acheteurs pour les ventes de produits, l’expédition et les emballages-cadeaux."
"Frais de vente : Comprend les frais de clôture estimés et les frais de vente."
"Autres frais de transaction : Comprend les rétrofacturations de l’expédition, les retenues sur l’expédition, les frais par article et les frais de recouvrement des taxes de vente."
"Autres : Inclut les montants des transactions non liées à une commande. Pour plus d’informations, consultez les colonnes « Type » et « Description » pour chaque numéro de commande."
"Remarque : les rapports dont la date de début est le 1er janvier 2025 ou une date ultérieure sont indexés par date publiée. Ils incluent à la fois les transactions effectuées et les transactions différées, et disposent de deux nouvelles colonnes. Vous devrez peut-être mettre à jour des intégrations ou des mappages tiers."
"date/heure","Identifiant du paiement","type","Numéro de la commande","SKU","description","quantité","site de vente","expédition","ville de la commande","état de la commande","commande postale","ventes de produits","crédits d’expédition","crédits d’emballage-cadeau","Total des réductions","taxe de ventes prélevée","Taxe Marketplace Facilitator","frais de vente","Frais pour le service Expédié par Amazon","autres frais de transaction","autres","total","Statut de la transaction","Date de délivrance de la transaction"
"1 avr. 2026 20:02:09 UTC","26777606232","Transférer","","","Au compte se terminant par : 064","","","","","","","0","0","0","0","0","0","0","0","0","-812,88","-812,88","Effectuée","1 avr. 2026 20:02:09 UTC"
"6 avr. 2026 00:56:44 UTC","26863664342","Commande","404-8199890-4579521","305130-PEN-EU-M","VIVOSUN Lot de pH-mètre et TDS mètre, pH-mètre de type stylo de haute précision 0,05 ph, TDS-mètre 3-en-1 (TDS, EC, et température) à précisio","1","amazon.com.be","Vendeur","Sint-Truiden","","3806","21,67","6,55","0","0","5,92","-5,92","-5,12","0","0","0","23,10","Effectuée","25 avr. 2026 22:07:26 UTC"
"7 avr. 2026 15:36:10 UTC","26777606232","Remboursement","408-6186345-1207527","330101NJ-EU","VIVOSUN Tapis chauffant hydroponique robuste et imperméable pour semis, 25,4 x 52,7 cm, certifié UL et MET, pour la germination, la culture en inté","1","amazon.com.be","Amazon","6640 VAUX-SUR-SURE","Belgique","6640","-22,21","-0,69","0","0,69","-4,66","4,66","1,08","0","0","0","-21,13","Effectuée","7 avr. 2026 15:36:13 UTC"
"7 avr. 2026 15:37:54 UTC","26777606232","Remboursement","408-6186345-1207527","330101NJ-EU","VIVOSUN Tapis chauffant hydroponique robuste et imperméable pour semis, 25,4 x 52,7 cm, certifié UL et MET, pour la germination, la culture en inté","1","amazon.com.be","Amazon","6640 VAUX-SUR-SURE","Belgique","6640","-22,21","-0,69","0","0,69","-4,66","4,66","1,07","0","0","0","-21,14","Effectuée","7 avr. 2026 15:37:57 UTC"
"8 avr. 2026 01:01:19 UTC","26863664342","Commande","404-4339204-3586707","306201P-4-EU-FBM","Vivosun Ventilation ventilateurs 4"" Inline Fan Inline Fan","1","amazon.com.be","Vendeur","Bruxelle","Bruxelle","1020","61,98","20,11","0","0","17,23","-17,23","-14,90","0","0","0","67,19","Effectuée","23 avr. 2026 22:17:48 UTC"
"8 avr. 2026 01:05:24 UTC","26863664342","Commande","404-4969364-1763559","VSF-AWD4x2-EU-FBM","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Vendeur","ravels","antwerpen","2381","34,31","8,86","0","0","9,07","-9,07","-7,84","0","0","0","35,33","Effectuée","23 avr. 2026 22:04:23 UTC"
"8 avr. 2026 19:00:32 UTC","26863664342","Commande","408-7842909-9079520","VSF-AWD4x2-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Sint-Pauwels","","9170","39,48","0","0","0","8,29","-8,29","-7,17","-4,39","0","0","27,92","Effectuée","16 avr. 2026 21:12:46 UTC"
"9 avr. 2026 01:19:50 UTC","26863664342","Commande","406-8995592-2045107","311001-5x5-EU-FBM","VIVOSUN Lot de 5 sacs de culture pour plantes de 15 litres, pots en tissu non tissé épais avec poignées solides, réutilisables et respirants pour","1","amazon.com.be","Vendeur","Saint-Ghislain","Hainaut","7331","20,65","9,19","0","0","6,27","-6,27","-5,42","0","0","0","24,42","Effectuée","24 avr. 2026 22:02:30 UTC"
"9 avr. 2026 20:37:39 UTC","26863664342","Commande","406-9275867-8305900","311001-30x5-EU","VIVOSUN Lot de 5 sacs de culture en tissu non tissé épais de 30 gallons avec poignées","1","amazon.com.be","Amazon","Sint-Pieters-Leeuw, Vlaams Brabant","","1600","30,63","2,06","0","-2,06","6,43","-6,43","-5,56","-7,35","0","0","17,72","Effectuée","17 avr. 2026 23:04:38 UTC"
"9 avr. 2026 21:17:46 UTC","26863664342","Commande","404-5376380-8430752","311003-4-EU","Vivosun Gartenschere mit geraden Edelstahlklingen","1","amazon.com.be","Amazon","Ixelles","","1050","11,56","1,03","0","-1,03","2,43","-2,43","-1,82","-1,83","0","0","7,91","Effectuée","25 avr. 2026 23:59:26 UTC"
"13 avr. 2026 21:40:49 UTC","26863664342","Commande","403-1498274-3362710","VSF-AWE6-G2-EU","VIVOSUN AeroWave E6 Gen2 Ventilateur à clip de tente de culture de 15,2 cm, moteur EC, contrôle intelligent, ventilateur oscillant puissant, minuter","1","amazon.com.be","Amazon","Schepdaal","","1703","48,55","0","0","0","10,19","-10,19","-8,81","-5,41","0","0","34,33","Effectuée","21 avr. 2026 22:15:47 UTC"
"14 avr. 2026 01:09:08 UTC","26947421072","Commande","408-1347959-1994743","SST-1-0001-EU-M","VIVOSUN 1 Plateau de démarrage de graines à 40 cellules avec 1 Jeu de lumières LED et Tapis Chauffant de semis de 25,4 x 52,7 cm, Housse Plus Haute","1","amazon.com.be","Vendeur","Viemme","","4317","41,31","12,31","0","0","11,26","-11,26","-9,73","0","0","0","43,89","Effectuée","29 avr. 2026 22:25:29 UTC"
"14 avr. 2026 01:09:35 UTC","26863664342","Commande","408-2988529-5998721","SST-1-0001-EU-M","VIVOSUN 1 Plateau de démarrage de graines à 40 cellules avec 1 Jeu de lumières LED et Tapis Chauffant de semis de 25,4 x 52,7 cm, Housse Plus Haute","1","amazon.com.be","Vendeur","Laakdal","Laakdal","2430","41,31","12,31","0","0","11,26","-11,26","-9,73","0","0","0","43,89","Effectuée","24 avr. 2026 20:47:45 UTC"
"14 avr. 2026 11:51:31 UTC","26863664342","Commande","402-0564259-2986714","VS1000EX2-EU2","VIVOSUN Lampes de Croissance LED Lot de 2 VS1000E 0,6 m avec Diodes Samsung et Spectre Complet Solaire pour Plantes Intérieur Semis Légumes Fleurs","1","amazon.com.be","Amazon","borgerhout","","2140","143,48","1,02","0","-1,02","30,13","-30,13","-26,04","-6,30","0","0","111,14","Effectuée","22 avr. 2026 18:33:18 UTC"
"15 avr. 2026 19:47:05 UTC","26863664342","Transférer","","","Au compte se terminant par : 064","","","","","","","0","0","0","0","0","0","0","0","0","-351,37","-351,37","Effectuée","15 avr. 2026 19:47:05 UTC"
"18 avr. 2026 01:15:33 UTC","26863664342","Commande","405-1522534-6714712","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Petit rechain","","4800","20,05","1,02","0","-1,02","4,21","-4,21","-3,64","-3,73","0","0","12,68","Effectuée","27 avr. 2026 22:04:59 UTC"
"18 avr. 2026 07:47:55 UTC","26863664342","Commande","407-3547727-2882725","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Knesselare","","9910","20,05","1,03","0","-1,03","4,21","-4,21","-3,64","-3,73","0","0","12,68","Effectuée","28 avr. 2026 23:27:28 UTC"
"18 avr. 2026 11:04:13 UTC","26863664342","Remboursement","404-5376380-8430752","311003-4-EU","Vivosun Gartenschere mit geraden Edelstahlklingen","1","amazon.com.be","Amazon","Ixelles","","1050","-11,56","-1,03","0","1,03","-2,43","2,43","1,46","0","0","0","-10,10","Effectuée","25 avr. 2026 20:33:20 UTC"
"19 avr. 2026 01:38:09 UTC","26947421072","Commande","405-4929608-4567527","VSGB-5-EU-M","VIVOSUN Sacs de Culture 5 Gallons Lot de 5 en Tissu Non Tissé 360 g avec Poignées et Anneaux Polyvalents pour Formation des Plantes à Faible Stress","1","amazon.com.be","Vendeur","Heverlee","","3001","20,61","10,50","0","0","6,54","-6,54","-5,65","0","0","0","25,46","Effectuée","29 avr. 2026 20:35:57 UTC"
"19 avr. 2026 01:38:53 UTC","26947421072","Commande","403-3875665-0864341","VSE-ASH09-EU-M","VIVOSUN AeroStream Humidificateur pour plantes 9 l","1","amazon.com.be","Vendeur","Robelmont","","6769","99,17","26,91","0","0","26,47","-26,47","-22,88","0","0","0","103,20","Effectuée","5 mai 2026 22:27:44 UTC"
"20 avr. 2026 01:20:26 UTC","26863664342","Commande","406-6596623-1681962","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Chapelle lez herlaimont","Hainaut","7160","25,07","2,06","0","-2,06","5,26","-5,26","-4,55","-3,73","0","0","16,79","Effectuée","28 avr. 2026 22:38:45 UTC"
"21 avr. 2026 20:08:16 UTC","26947421072","Commande","403-2541245-2663546","VSF-AWD4W-EU-FBA","VIVOSUN AeroWave D4, ventilateur à clip de tente de culture de 10,2 cm avec crochet amovible, flux d'air puissant et silencieux à 3 vitesses, angle","1","amazon.com.be","Amazon","villers-le-temple","liege","4550","25,75","0","0","0","5,41","-5,41","-4,67","-3,73","0","0","17,35","Effectuée","30 avr. 2026 15:02:29 UTC"
"21 avr. 2026 21:56:34 UTC","26947421072","Commande","407-9166616-8141120","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","LIMBOURG","","4830","25,07","2,06","0","-2,06","5,26","-5,26","-4,55","-3,73","0","0","16,79","Effectuée","29 avr. 2026 16:21:44 UTC"
"22 avr. 2026 01:27:05 UTC","26947421072","Commande","407-4371777-1185902","VSGB-7-EU-M","VIVOSUN Lot de 5 sacs de plantation de 30 l, en tissu non tissé épais de 360 g, avec poignées et œillets multifonctions, sac de plantation pour po","1","amazon.com.be","Vendeur","Marke","","8510","22,31","11,31","0","0","7,06","-7,06","-6,10","0","0","0","27,52","Effectuée","1 mai 2026 06:59:28 UTC"
"24 avr. 2026 06:52:59 UTC","26863664342","Remboursement","402-0564259-2986714","VS1000EX2-EU2","VIVOSUN Lampes de Croissance LED Lot de 2 VS1000E 0,6 m avec Diodes Samsung et Spectre Complet Solaire pour Plantes Intérieur Semis Légumes Fleurs","1","amazon.com.be","Amazon","borgerhout","","2140","-143,48","-1,02","0","1,02","-30,13","30,13","21,04","0","0","0","-122,44","Effectuée","24 avr. 2026 06:52:59 UTC"
"24 avr. 2026 20:46:02 UTC","26947421072","Commande","408-7102770-6645112","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Hélécine","","1357","25,49","0","0","0","0","0","-4,55","-3,73","0","0","17,21","Effectuée","2 mai 2026 21:40:16 UTC"
"24 avr. 2026 23:44:02 UTC","26947421072","Commande","408-2203862-7886736","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Wanlin","","5564","25,07","0","0","0","5,26","-5,26","-4,55","-3,73","0","0","16,79","Effectuée","2 mai 2026 23:43:47 UTC"
"26 avr. 2026 19:01:03 UTC","26947421072","Commande","402-0050660-3741114","311003-5-EU","VIVOSUN Tijeras de podar para jardinería con cuchillas de acero inoxidable","1","amazon.com.be","Amazon","Dadizele","","8890","7,58","0","0","0","1,59","-1,59","-1,19","-1,86","0","0","4,53","Effectuée","5 mai 2026 20:03:49 UTC"
"27 avr. 2026 18:58:02 UTC","26947421072","Commande","407-2142455-6428367","306146-0412-EU","VIVOSUN Filtre à charbon à air de 10,2 cm avec charbon vierge australien pour ventilateur en ligne, épurateur d'odeurs de tente de culture, pré-fi","1","amazon.com.be","Amazon","Putte","","2580","42,83","0","0","0","8,99","-8,99","-7,66","-6,36","0","0","28,81","Effectuée","5 mai 2026 16:33:25 UTC"
"28 avr. 2026 08:31:31 UTC","26947421072","Commande","402-5565491-6393138","305140-PEN-EU-FBM","VIVOSUN Kits de pH-mètre numérique et TDS, 0,01pH haute précision type stylo pH mètre ± 2% précision de lecture 3 en 1 TDS EC pour hydroponie, p","1","amazon.com.be","Vendeur","Evere","","1140","23,95","6,28","0","0","6,35","-6,35","-1,83","0","0","0","28,40","Effectuée","7 mai 2026 16:12:16 UTC"
"29 avr. 2026 01:05:35 UTC","26947421072","Commande","407-8246606-6003535","330303-EU-FBM","VIVOSUN Tapis chauffant pour plantes, 121,9 x 52,7 cm, avec régulateur de température, étanche, certifié UL & MET, pour la germination, la culture","1","amazon.com.be","Vendeur","Huldenberg","","3040","55,99","14,07","0","0","0","0","-10,51","0","0","0","59,55","Effectuée","9 mai 2026 21:44:47 UTC"
"29 avr. 2026 01:05:35 UTC","26947421072","Commande","407-8246606-6003535","330101x2NJ-EU-M","VIVOSUN Tapis Chauffants Hydroponiques Robustesse Imperméables 25,4 x 52,7 cm Lot de 2 pour Semis Norme MET","1","amazon.com.be","Vendeur","Huldenberg","","3040","34,99","8,99","0","0","0","0","-6,60","0","0","0","37,38","Effectuée","9 mai 2026 21:44:47 UTC"
"29 avr. 2026 05:29:59 UTC","26947421072","Remboursement","408-1347959-1994743","SST-1-0001-EU-M","VIVOSUN 1 Plateau de démarrage de graines à 40 cellules avec 1 Jeu de lumières LED et Tapis Chauffant de semis de 25,4 x 52,7 cm, Housse Plus Haute","1","amazon.com.be","Vendeur","Viemme","","4317","-41,31","-12,31","0","0","-11,26","11,26","7,78","0","0","0","-45,84","Effectuée","29 avr. 2026 22:20:24 UTC"
"29 avr. 2026 20:02:25 UTC","26947421072","Transférer","","","Au compte se terminant par : 064","","","","","","","0","0","0","0","0","0","0","0","0","-302,56","-302,56","Effectuée","29 avr. 2026 20:02:25 UTC"
"30 avr. 2026 00:15:06 UTC","26947421072","Commande","402-4267562-8683512","VSF-AWD4-EU","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Amazon","Antwerpen","","2060","25,07","0","0","0","5,26","-5,26","-4,55","-3,73","0","0","16,79","Effectuée","10 mai 2026 21:00:48 UTC"
"30 avr. 2026 11:11:45 UTC","26947421072","Commande","404-3606787-6145122","304113-42-EU","Vivosun 121,9 x 61 x 152,4 cm Mylar Tente de culture hydroponique avec fenêtre de Obeservation et bac de sol pour plantes d'intérieur Croissance de","1","amazon.com.be","Amazon","Overpelt","","3900","95,53","1,23","0","-1,23","20,06","-20,06","-17,34","-12,84","0","0","65,35","Effectuée","11 mai 2026 20:23:25 UTC"
"2 mai 2026 23:36:49 UTC","26947421072","Commande","405-0589054-7154705","306146-0412-EU","VIVOSUN Filtre à charbon à air de 10,2 cm avec charbon vierge australien pour ventilateur en ligne, épurateur d'odeurs de tente de culture, pré-fi","1","amazon.com.be","Amazon","Jurbise","","7050","42,83","2,47","0","0","9,51","-9,51","-7,66","-8,85","0","0","28,79","Effectuée","10 mai 2026 18:47:09 UTC"
"4 mai 2026 01:28:17 UTC","27033647132","Commande","403-6715137-9613915","GT-Pole-EU-M","VIVOSUN Kit de 4 Tente de Culture à CFM Elevé, Gamme de Poteaux Verts de 61-122CM, Convient aux Tentes de Culture de 5x5CM, 7.6x7.6CM, 10x5CM et 10x","1","amazon.com.be","Vendeur","Peer","","3990","37,18","12,45","0","0","10,42","-10,42","-9,01","0","0","0","40,62","Effectuée","16 mai 2026 00:14:01 UTC"
"4 mai 2026 01:28:17 UTC","27033647132","Commande","403-6715137-9613915","VSF-AWD4x2-EU-FBM","VIVOSUN AeroWave D4, ventilateur de tente de culture à clip, flux d'air puissant et silencieux à 3 vitesses, angle réglable pour hydroponie","1","amazon.com.be","Vendeur","Peer","","3990","34,31","6,15","0","0","8,50","-8,50","-7,34","0","0","0","33,12","Effectuée","16 mai 2026 00:14:01 UTC"
"4 mai 2026 01:28:17 UTC","27033647132","Commande","403-6715137-9613915","LH-001-EU-M","VIVOSUN 1 paire de cintres réglables de 0,3 cm pour lampe de culture, corde de suspension robuste avec engrenages métalliques renforcés, 2,4 m de l","1","amazon.com.be","Vendeur","Peer","","3990","7,43","2,64","0","0","2,12","-2,12","-1,83","0","0","0","8,24","Effectuée","16 mai 2026 00:14:01 UTC"
"4 mai 2026 11:09:30 UTC","26947421072","Commande","403-1457127-2180368","HDR004-EU","VIVOSUN Étendoir à 4 couches en maille à suspendre avec fermetures éclair vertes pour déshydratation, sécateur intérieur et extérieur inclus","1","amazon.com.be","Amazon","Peer","","3990","20,31","0","0","0","4,27","-4,27","-3,69","-4,46","0","0","12,16","Effectuée","12 mai 2026 20:20:19 UTC"
"4 mai 2026 11:10:43 UTC","27033647132","Commande","403-1457127-2180368","TN-55-EU","VIVOSUN Lot de 5 filets de treillis élastiques avec 4 crochets pour plantes grimpantes, légumes, fruits et fleurs","1","amazon.com.be","Amazon","Peer","","3990","15,16","0","0","0","3,18","-3,18","-2,75","-3,00","0","0","9,41","Effectuée","13 mai 2026 14:00:50 UTC"
"4 mai 2026 16:51:12 UTC","26947421072","Commande","403-5411110-9100369","311003-4-EU","Vivosun Gartenschere mit geraden Edelstahlklingen","1","amazon.com.be","Amazon","NANDRIN","liege","4550","11,56","0","0","0","2,43","-2,43","-1,82","-1,86","0","0","7,88","Effectuée","12 mai 2026 16:21:15 UTC"
"5 mai 2026 09:26:19 UTC","26947421072","Commande","171-6251801-1976323","311001-5x5-EU-FBM","VIVOSUN Lot de 5 sacs de culture pour plantes de 15 litres, pots en tissu non tissé épais avec poignées solides, réutilisables et respirants pour","1","amazon.com.be","Vendeur","Saint-Ghislain","Hainaut","7331","20,65","9,19","0","0","6,27","-6,27","-5,42","0","0","0","24,42","Différée",
