"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"date/heure : date/heure postée de la transaction"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"Remarque : les rapports dont la date de début est le 1er janvier 2025 ou une date ultérieure sont indexés par date publiée. Ils incluent à la fois les transactions effectuées et les transactions différées, et disposent de deux nouvelles colonnes. Vous devrez peut-être mettre à jour des intégrations ou des mappages tiers."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total","Statut de la transaction","Date de sortie de la transaction"
"1 avr. 2026 00:55:31 UTC","26821642572","Commande","408-9032517-8105149","311001-20x5-EU-M","VIVOSUN Lot 5 Sac de Plantation 80L Sacs de Culture Tissu Non Tissé Sac à Plantes, Pots Tissu Épais Haute Résistance avec Poignées pour Légumes,","1","amazon.fr","Vendeur","Manosque","","04100","MarketplaceFacilitator","27,49","5,50","0","0","0","0","0","0","-5,50","-4,95","0","-0,15","0","22,39","Sorti","18 avr. 2026 23:24:38 UTC"
"1 avr. 2026 00:55:59 UTC","26821642572","Commande","403-4040059-5904340","LH-001-EU-M","VIVOSUN 1 paire de cintres réglables de 0,3 cm pour lampe de culture, corde de suspension robuste avec engrenages métalliques renforcés, 2,4 m de l","1","amazon.fr","Vendeur","Béthines","Vienne","86310","MarketplaceFacilitator","7,49","1,50","0","0","0","0","0","0","-1,50","-1,35","0","-0,04","0","6,10","Sorti","11 avr. 2026 22:15:47 UTC"
"1 avr. 2026 00:56:05 UTC","26821642572","Commande","171-2780276-0411532","VSE-ASH05-EU-M","VIVOSUN Humidificateur D'Air pour Plantes 5L Humidificateur Intelligent Plantes, Aerostream H05 24DB Silencieux Brume Fraîche 360° 50H Remplissage F","1","amazon.fr","Vendeur","Chambery","","73000","MarketplaceFacilitator","66,66","13,33","0","0","0","0","0","0","-13,33","-12,00","0","-0,36","0","54,30","Sorti","18 avr. 2026 07:28:01 UTC"
"1 avr. 2026 00:56:18 UTC","26821642572","Commande","406-1069374-7015511","VSGB-15-EU-M","VIVOSUN Lot 5 Sac de Plantation 60L Sacs de Culture Tissu Non Tissé Sac à Plantes 500g/m² Épaisseur, Pots Tissu avec Poignées et Anneaux Polyvale","1","amazon.fr","Vendeur","Neuilly-Saint-Front","FR","02470","MarketplaceFacilitator","29,99","6,00","0","0","0","0","0","0","-6,00","-5,40","0","-0,16","0","24,43","Sorti","11 avr. 2026 00:23:55 UTC"
"1 avr. 2026 00:56:19 UTC","26902793752","Commande","404-9968225-7754743","311001-20x5-EU-M","VIVOSUN Lot 5 Sac de Plantation 80L Sacs de Culture Tissu Non Tissé Sac à Plantes, Pots Tissu Épais Haute Résistance avec Poignées pour Légumes,","1","amazon.fr","Vendeur","Cavaillon","","84300","MarketplaceFacilitator","27,49","5,50","0","0","0","0","0","0","-5,50","-4,95","0","-0,15","0","22,39","Sorti","24 avr. 2026 22:18:15 UTC"
"1 avr. 2026 00:58:40 UTC","26821642572","Commande","408-8237405-7898707","VSE-ASH05-EU-M","VIVOSUN Humidificateur D'Air pour Plantes 5L Humidificateur Intelligent Plantes, Aerostream H05 24DB Silencieux Brume Fraîche 360° 50H Remplissage F","1","amazon.fr","Vendeur","Montfavet","","84140","MarketplaceFacilitator","66,66","13,33","0","0","0","0","0","0","-13,33","-12,00","0","-0,36","0","54,30","Sorti","20 avr. 2026 20:52:52 UTC"
"1 avr. 2026 00:58:49 UTC","26821642572","Commande","408-0496600-3591567","VSGB-3-EU-M","VIVOSUN Lot 5 Sac de Plantation 12L Sacs de Culture Tissu Non Tissé Sac à Plantes 500g/m² Épaisseur, Pots Tissu avec Poignées et Anneaux Polyvale","1","amazon.fr","Vendeur","Vailhourles","","12200","MarketplaceFacilitator","21,66","4,33","0","0","0","0","0","0","-4,33","-3,90","0","-0,12","0","17,64","Sorti","15 avr. 2026 07:48:43 UTC"
"1 avr. 2026 04:23:04 UTC","26821642572","Commande","404-5650001-3653968","304113-55-EU","VIVOSUN Tente de Culture 150x150x200cm, Tente Hydroponique Intérieure Lumière-Proof avec Mylar Réfléchissant, Fenêtre D'observation, Bac de Fond,","1","amazon.fr","Amazon","Morteau","","25500","MarketplaceFacilitator","130,32","26,07","0","0","0","0","0","0","-26,07","-23,46","-38,21","-1,85","0","66,80","Sorti","10 avr. 2026 21:12:28 UTC"
"1 avr. 2026 07:09:44 UTC","26821642572","Commande","403-2846898-1855544","306143-0616-EU","VIVOSUN Filtre à Charbon Actif 150mm Filtre à Charbon avec Préfiltre et Bride Réversible Filtre Charbon Purificateur d'Air pour Ventilateur en Lig","1","amazon.fr","Amazon","TROUILLAS","","66300","MarketplaceFacilitator","74,99","15,00","0","0","0","0","0","0","-15,00","-13,50","-7,99","-0,65","0","52,85","Sorti","9 avr. 2026 23:21:16 UTC"
"1 avr. 2026 08:52:11 UTC","26821642572","Commande","171-8382085-2998767","VG-Y18B-EU","VIVOSUN VGrow Tente de Culture Intelligente Tout-en-Un, Système Professionnel Équipé de la Lampe de Culture Samsung LM301H Evo, de Systèmes de Cir","1","amazon.fr","Amazon","Avon","","77210","MarketplaceFacilitator","666,66","133,33","0","0","0","0","0","0","-133,33","-120,00","-15,59","-4,07","0","527,00","Sorti","11 avr. 2026 22:00:26 UTC"
