"Obejmują transakcje Amazon Marketplace, realizowane przez Amazon (FBA) i Amazon Webstore."
"Wszystkie kwoty w PLN, chyba że określono inaczej"
"Definicje:"
"data/godzina: opublikowana data/godzina transakcji"
"Pobrany podatek od sprzedaży: Obejmuje podatek od sprzedaży pobierany od kupujących za sprzedaż produktów, wysyłkę i pakowanie na prezent."
"Opłaty za sprzedaż: Obejmują zmienne opłaty za zamknięcie i prowizje od sprzedaży."
"Inne opłaty transakcyjne: Obejmują obciążenia zwrotne za wysyłkę, opłaty zatrzymane z tytułu zwrotu kosztów, prowizje za każdy sprzedany produkt i opłaty związane z poborem podatku od sprzedaży."
"Pozostałe: Obejmują kwoty transakcji niezwiązanych z zamówieniem. Aby uzyskać więcej informacji, zobacz kolumny „Typ” i „Opis” do każdego identyfikatora zamówienia."
"Uwaga: Raporty z datą rozpoczęcia 1 stycznia 2025 r. lub nowszej są indeksowane według daty opublikowania, obejmują zarówno transakcje opublikowane, jak i odroczone oraz mają dwie nowe kolumny. Może być konieczna aktualizacja integracji lub mapowania innych firm."
"data/godzina","identyfikator rozliczenia","typ","identyfikator zamówienia","sku","opis","ilość","rynek","realizacja","miejscowość zamówienia","stan zamówienia","przekaz pocztowy","sprzedaż produktów","noty kredytowe za wysyłkę","środki na pokrycie pakowania na prezent","rabaty promocyjne","pobrany podatek od sprzedaży","Podatek od transakcji Marketplace Facilitator","opłaty za sprzedaż","opłaty za fba","inne opłaty transakcyjne","inne","suma","Status transakcji","Data zrealizowania transakcji"
"1 kwi 2026 00:58:52 UTC","26863213332","Zamówienie","408-2654928-7582717","VSF-AWD4W-EU","VIVOSUN AeroWave D4, wentylator do namiotu hodowlanego 10,2 cm, z zdejmowanym hakiem, mocny i cichy 3-biegowy przeplyw powietrza, regulowany kąt prze","1","amazon.pl","Sprzedawca","Katowice","","40-14","104,85","0","0","0","24,11","-24,11","-11,61","0","0","0","93,24","Wydano","16 kwi 2026 21:02:28 UTC"
"1 kwi 2026 11:52:06 UTC","26777632502","Zamówienie","404-8988227-7321933","304113-52-EU","VIVOSUN S538 namiot do uprawy 5x2, 150x80x200 cm, odblaskowy mylar, okno obserwacyjne, taca podlogowa do hydroponiki, roślin domowych, VS2000/VSF4300","1","amazon.pl","Amazon","Lubliniec","","42-70","699,15","12,99","0","-12,99","0","0","-77,40","-8,19","0","0","613,56","Wydano","10 kwi 2026 21:14:54 UTC"
"2 kwi 2026 04:30:28 UTC","26777632502","Przelew","","","Na rachunek bankowy kończący się na: 064","","","","","","","0","0","0","0","0","0","0","0","0","-807,47","-807,47","Wydano","2 kwi 2026 04:30:28 UTC"
"2 kwi 2026 08:39:20 UTC","26777632502","Zwrot kosztów","403-7631232-4743514","VSF-AWD4Wx2-EU","VIVOSUN AeroWave D4, wentylator z klipsem do namiotu hodowlanego 10,2 cm ze zdejmowanym hakiem, mocny i cichy 3-biegowy przeplyw powietrza, regulowany","1","amazon.pl","Amazon","Katowice","","40-14","-178,26","-10,56","0","10,56","-41,00","41,00","17,54","0","0","0","-160,72","Wydano","2 kwi 2026 08:39:20 UTC"
"3 kwi 2026 08:32:19 UTC","26863213332","Zamówienie","404-0753951-9583551","GH-E25-EU-FBM","VIVOSUN GrowHub E25 Czarny Sterownik WiFi do oświetlenia i wentylacji namiotu hodowlanego, uchwyt do urządzeń SGS, Plug and Play, rozszerzenie do G","1","amazon.pl","Sprzedawca","Rzeszów","","35-50","111,84","0","0","0","25,72","-25,72","-12,38","0","0","0","99,46","Wydano","16 kwi 2026 20:40:46 UTC"
"4 kwi 2026 00:56:11 UTC","26863213332","Zamówienie","402-1281021-3589157","VSE-ATW70-EU-FBM","VIVOSUN AeroFlux Smart Grow Tent Heater, 700 W ogrzewanie PTC z termostatem, monitorowanie VPD, sterowanie aplikacją, zabezpieczenie przed przegrzani","1","amazon.pl","Sprzedawca","Kuźnica","","16-12","451,88","0","0","0","103,93","-103,93","-27,79","0","0","0","424,09","Wydano","21 kwi 2026 22:11:58 UTC"
"7 kwi 2026 01:26:22 UTC","26863213332","Zamówienie","402-6755949-2493924","VSE-UH075-EU-M","VIVOSUN AeroStream U075 Nawilżacz USB, 750 ml, mini nawilżacz z 2 trybami mgly, automatyczne wylączanie, inteligentny pilot zdalnego sterowania, za","1","amazon.pl","Sprzedawca","Płock","","09-40","143,86","0","0","0","33,09","-33,09","-17,70","0","0","0","126,16","Wydano","17 kwi 2026 22:56:02 UTC"
"8 kwi 2026 01:05:05 UTC","26947913132","Zamówienie","404-1143394-5960317","VSL-LRSF50-8-EU-FBM","VIVOSUN LumaRay lampa LED do uprawy roślin, 40 cm, zestaw 8 sztuk, pelne spektrum oświetlenia bocznego z 60% czerwonym światlem dla maks. 25% więk","1","amazon.pl","Sprzedawca","Rzeszów","","35-50","884,90","0","0","0","0","0","-88,49","0","0","0","796,41","Wydano","4 maj 2026 22:01:48 UTC"
"9 kwi 2026 01:20:30 UTC","26863213332","Zamówienie","406-8247138-9762718","VSE-ASH05-EU-M","VIVOSUN AeroStream H05 Nawilżacz roślin, 24dB Cichy, zimna mgla 360°, 50h użytkowania, górny wypelniacz ultradźwiękowy, do Grow Tents i Grow Bo","1","amazon.pl","Sprzedawca","Linin","","05-53","308,31","0","0","0","70,91","-70,91","-37,92","0","0","0","270,39","Wydano","21 kwi 2026 00:06:20 UTC"
"9 kwi 2026 10:25:37 UTC","26863213332","Zamówienie","407-5449402-3116350","VS1000EX2-EU2","VIVOSUN 2-pak VS1000E LED lampa do uprawy roślin, 2 x 2 m, lampa LED z diodami Samsung i pelne spektrum slońca, do roślin domowych, sadzonek, warzy","1","amazon.pl","Amazon","Warszawa","mazowieckie","02-49","611,78","0","0","0","140,71","-140,71","-67,72","-4,15","0","0","539,91","Wydano","17 kwi 2026 11:29:19 UTC"
