"Inkluderar transaktioner på Amazons marknadsplats, Fraktas från Amazon (FBA) och Amazons webbutik"
"Alla belopp i kr, om inte annat anges"
"Definitioner:"
"datum/tid: bokfört datum/tid för transaktionen"
"Inkasserad moms: Inkluderar moms som kasserats in från köpare för produktförsäljning, frakt och presentinslagning."
"Försäljningsavgifter: Inkluderar rörliga avstängningsavgifter och hänvisningsavgifter."
"Övriga transaktionsavgifter: Inkluderar återdebitering av frakt, stoppad frakt, fraktstopp, avgifter per artikel och inkassering av moms."
"Övrigt: Inkluderar belopp för annat än beställningar. Mer information finns i kolumnerna ”Typ” och ”Beskrivning” för varje beställnings-ID."
"Obs! Rapporter med startdatum 1 januari 2025 eller senare indexeras efter bokföringsdatum, inkluderar både släppta och uppskjutna transaktioner och har två nya kolumner. Du kan behöva uppdatera integreringar eller mappningar från tredje part."
"datum/tid","reglerings-id","typ","beställnings-id","sku","beskrivning","antal","marknadsplats","leverans","stad för beställning","delstat för beställning","postadress för beställning","försäljning av produkter","fraktkrediter","krediter för presentinslagning","kampanjrabatter","Inkasserad moms","Skatt för marknadsplatsförmedlare","försäljningsavgifter","fba-avgifter","övriga transaktionsavgifter","Övrigt","totalt","Transaktionsstatus","Transaktionens utgivningsdatum"
"1 apr. 2026 00:57:23 UTC","26863201812","Order","403-6662695-0160305","VSA150SE-E25-EU-FBM","VIVOSUN AeroLight A150SE LED-växtlampa för inomhusväxter, 150 W, med integrerad cirkulationsfläkt och GrowHub E25-styrenhet, lämplig för app och","1","amazon.se","Säljare","Östersund","","","1 535,82","0","0","0","383,95","−383,95","−287,97","0","0","0","1 247,85","Släpps","15 apr. 2026 23:52:14 UTC"
"1 apr. 2026 00:58:58 UTC","26863201812","Order","403-8212814-7284330","305131-EU-M","VIVOSUN Jordtestare, 3-i-1 växtfuktighetsmätare ljus och PH-testare för hem, trädgård, gräsmatta, bondgård, inomhus- och utomhusbruk, främja v","1","amazon.se","Säljare","Östersund","","","95,83","0","0","0","23,96","−23,96","−17,97","0","0","0","77,86","Släpps","15 apr. 2026 23:46:34 UTC"
"1 apr. 2026 00:59:34 UTC","26863201812","Order","403-3676642-5084304","305131-EU-M","VIVOSUN Jordtestare, 3-i-1 växtfuktighetsmätare ljus och PH-testare för hem, trädgård, gräsmatta, bondgård, inomhus- och utomhusbruk, främja v","1","amazon.se","Säljare","Östersund","","","95,83","0","0","0","23,96","−23,96","−17,97","0","0","0","77,86","Släpps","15 apr. 2026 19:48:40 UTC"
"1 apr. 2026 03:09:13 UTC","26777484392","Återbetalning","404-9576638-4594732","VSA150SE-EU-N1-FBM","VIVOSUN AeroLight A150SE, LED-Wachstumslicht 150 W mit integrertem Umwälzventilator, kompatibel med App, verwendet mit Growhub-Controller E42A/E25, u","1","amazon.se","Säljare","GÖTEBORG","","","−1 379,94","0","0","0","−344,98","344,98","206,99","0","0","0","−1 172,95","Släpps","3 apr. 2026 15:04:32 UTC"
"2 apr. 2026 04:33:20 UTC","26777484392","Överföring","","","Till bankkontot som slutar på: 064","","","","","","","0","0","0","0","0","0","0","0","0","−12 884,58","−12 884,58","Släpps","2 apr. 2026 04:33:20 UTC"
"3 apr. 2026 00:53:20 UTC","26863201812","Order","406-9310133-6955505","330303-EU-FBM","VIVOSUN Värmematta för växter 121,9 x 52,7 cm med temperaturregulator, UL & MET-certifierad, vattentät växtvärmematta för groddning, hydroponi,","1","amazon.se","Säljare","FJÄLKINGE","","","488,21","0","0","0","122,05","−122,05","−30,51","0","0","0","457,70","Släpps","23 apr. 2026 23:45:30 UTC"
"3 apr. 2026 00:53:44 UTC","26863201812","Order","407-0415058-5237101","330702-02-EU-M","VIVOSUN trädgårdsnät 1,5 m x 9,1 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","1","amazon.se","Säljare","FALUN","","","95,83","0","0","0","23,96","−23,96","−9,58","0","0","0","86,25","Släpps","21 apr. 2026 21:58:17 UTC"
"3 apr. 2026 09:17:16 UTC","26863201812","Order","402-9574891-4389116","304113-P276-EU","VIVOSUN PRO odlingstält 80 x 80 x 160 cm odlingstält med tjocka 22 mm stänger 2000D oxfordtyg, högreflekterande Mylar inomhus hydroponik, odlingst","1","amazon.se","Amazon","Skövde","","","1 533,22","6,54","0","−6,54","383,31","−383,31","−287,48","−116,69","0","0","1 129,05","Släpps","15 apr. 2026 16:19:56 UTC"
"4 apr. 2026 00:56:46 UTC","26863201812","Order","403-0005697-4520366","330702-02-EU-M","VIVOSUN trädgårdsnät 1,5 m x 9,1 m, växtnät med stora maskor, spaljé för gurka, ärtor, tomater och klätterväxter, nylonvävnad","1","amazon.se","Säljare","JÄMJÖ","","","95,83","0","0","0","23,96","−23,96","−9,58","0","0","0","86,25","Släpps","23 apr. 2026 17:10:47 UTC"
"4 apr. 2026 00:56:54 UTC","26863201812","Order","407-6407614-1453968","305131-EU-M","VIVOSUN Jordtestare, 3-i-1 växtfuktighetsmätare ljus och PH-testare för hem, trädgård, gräsmatta, bondgård, inomhus- och utomhusbruk, främja v","1","amazon.se","Säljare","UMEÅ","","","95,83","0","0","0","23,96","−23,96","−17,97","0","0","0","77,86","Släpps","22 apr. 2026 17:46:30 UTC"
