"Omvat transacties van Amazon Marketplace, Fulfillment by Amazon (FBA) en Amazon Webstore"
"Alle bedragen in EUR, tenzij anders vermeld"
"Definities:"
"datum/tijd: boekingsdatum/-tijd van de transactie"
"Geïnde omzetbelasting: Inclusief omzetbelasting geïnd door kopers voor de verkoop van producten, verzending en cadeauverpakking."
"Verkoopkosten: Inclusief variabele afsluitkosten en verwijzingsvergoedingen."
"Overige transactiekosten: Inclusief terugvorderingen van verzendkosten, holdbackkosten voor verzending, kosten per item en inningskosten voor omzetbelasting."
"Overig: Inclusief transactiebedragen die niet aan bestellingen zijn gerelateerd. Raadpleeg voor meer informatie de kolommen 'Type' en 'Beschrijving' van ieder bestelnummer."
"Opmerking: Rapporten vanaf 1 januari 2025 zijn geïndexeerd op boekingsdatum, bevatten vrijgegeven en uitgestelde transacties en hebben twee nieuwe kolommen. Mogelijk moet je integraties of koppelingen van derden bijwerken."
"datum/tijd","schikkings-ID","type","bestelnummer","sku","beschrijving","aantal","marketplace","fulfillment","bestelling stad","status bestelling","bestelling per post","verkoop van producten","Verzendtegoeden","kredietpunten cadeauverpakking","promotiekortingen","geïnde omzetbelasting","Belasting voor marketplace-facilitator","verkoopkosten","fba-vergoedingen","overige transactiekosten","overige","totaal","Transactiestatus","Publicatiedatum van transactie"
"1 apr 2026 01:06:59 UTC","26822196132","Bestelling","171-4866350-0177109","VSH-IS02-EU-M","VIVOSUN Automatische druppelirrigatieset","1","amazon.nl","Verkoper","RIJSWIJK ZH","","2285","44,62","0","0","0","9,37","-9,37","-8,10","0","0","0","36,52","Uitgebracht","15 apr 2026 22:04:37 UTC"
"2 apr 2026 15:15:40 UTC","26732883622","Terugbetaling","402-5377131-8589128","VSC-GCC4-EU","VIVOSUN GrowCam C4, 2K QHD WiFi Smart Camera voor kweektent & VGrow Smart Grow Box, Timelapse, Nachtzicht, SD-kaartopslag, 2-weg audio, app-bediening","1","amazon.nl","Amazon","BENNEBROEK","","2121","-50,79","0","0","0","-10,67","10,67","6,39","0","0","0","-44,40","Uitgebracht","2 apr 2026 15:15:43 UTC"
"3 apr 2026 00:53:37 UTC","26822196132","Bestelling","402-0465092-5320350","VSE-ATW70-EU-FBM","VIVOSUN AeroFlux Smart Grow Tent Heater, 700 W PTC-verwarming met thermostaat, VPD-bewaking, app-bediening, oververhittingsbeveiliging en verlengslang","1","amazon.nl","Verkoper","ROERMOND","","6041","107,43","0","0","0","22,56","-22,56","-19,50","0","0","0","87,93","Uitgebracht","15 apr 2026 22:51:53 UTC"
"3 apr 2026 00:54:29 UTC","26822196132","Bestelling","171-3309655-7696354","VSE-UH075-EU-M","VIVOSUN AeroStream U075 luchtbevochtiger, 750 ml mini koude mist luchtbevochtiger met 2 mistmodi, automatische uitschakeling, intelligente bediening,","1","amazon.nl","Verkoper","goirle","noordbrabant","5051","30,57","0","0","0","6,42","-6,42","-1,85","0","0","0","28,72","Uitgebracht","16 apr 2026 20:04:55 UTC"
"3 apr 2026 20:38:08 UTC","26822196132","Bestelling","408-1435289-0146708","332022-EU","VIVOSUN 30X 60X Verlichte Juweliers Loep Opvouwbare Vergrootglas met LED Licht voor Sieraden Edelstenen Horloges Munten Postzegels Antiek Zwart","1","amazon.nl","Amazon","Bennebroek","","2121","11,85","0","0","0","2,49","-2,49","-1,15","-2,87","0","0","7,83","Uitgebracht","14 apr 2026 12:22:19 UTC"
"4 apr 2026 00:19:41 UTC","26822196132","Bestelling","404-8798278-1541167","333101-G2J-EU-FBA","VIVOSUN 2-Pack Indoor Hydrocultuur LED Grow Room Bril met Glazen Case","1","amazon.nl","Amazon","De Meern","","3453","24,41","0,21","0","-0,21","5,13","-5,13","-4,43","-4,03","0","0","15,95","Uitgebracht","16 apr 2026 18:20:57 UTC"
"4 apr 2026 00:52:40 UTC","26822196132","Bestelling","408-0099287-4338715","VSGB-3-EU-M","VIVOSUN Set van 5 plantenzakken, 12 l, vliesstof, plantenzak, 500 g/m², dik, stoffen potten met handgrepen en ringen, multifunctioneel, ideaal voor L","1","amazon.nl","Verkoper","Kerkrade","Nederland","6461","18,17","0","0","0","3,82","-3,82","-3,30","0","0","0","14,87","Uitgebracht","15 apr 2026 17:01:28 UTC"
"4 apr 2026 01:44:47 UTC","26822196132","Bestelling","404-2282597-5376300","333101-G2J-EU-FBA","VIVOSUN 2-Pack Indoor Hydrocultuur LED Grow Room Bril met Glazen Case","1","amazon.nl","Amazon","VLEUTEN","","3452","24,41","0,62","0","-0,62","5,13","-5,13","-4,43","-4,03","0","0","15,95","Uitgebracht","11 apr 2026 22:07:56 UTC"
"5 apr 2026 01:15:20 UTC","26822196132","Bestelling","405-0786417-6074763","304113-2014-EU-M","VIVOSUN Kleine kweektent voor Aerogarden, hydrocultuur kweeksysteem, 20""x14""x21"" Zeer Reflecterende Mylar Indoor kweektent met verzegelde bodem ontwer","1","amazon.nl","Verkoper","Bergeijk","","5571","36,54","0","0","0","7,67","-7,67","-6,63","0","0","0","29,91","Uitgebracht","17 apr 2026 23:54:59 UTC"
"6 apr 2026 13:53:49 UTC","26822196132","Bestelling","406-9174934-8770710","VSF-AWD4-EU","VIVOSUN AeroWave D4, 10 cm kweektentclipventilator, 3-snelheden, sterke en stille luchtstroom, instelbare hoek, voor hydrocultuur, circulatie en koeli","1","amazon.nl","Amazon","WELL L","","5855","25,07","0","0","0","5,26","-5,26","-4,55","-3,51","0","0","17,01","Uitgebracht","15 apr 2026 20:27:01 UTC"
"7 apr 2026 01:27:18 UTC","26822196132","Bestelling","407-7373054-2013941","VSGB-10-EU-M","VIVOSUN Set van 5 plantenzakken, 40 liter, 360 g dikke vliesstoffen potten met handgrepen en multifunctionele ogen, plantenzak voor aardappelen, tomat","1","amazon.nl","Verkoper","ALKMAAR","","1812","28,99","0","0","0","0","0","-4,35","0","0","0","24,64","Uitgebracht","17 apr 2026 21:37:24 UTC"
"7 apr 2026 21:44:34 UTC","26822196132","Bestelling","407-9118244-6736362","VSL-LL100-EU","VIVOSUN 100W LED Kweeklamp voor Planten, Volledig Spectrum Lumalight met Hoge PPFD en Dimbare Functie, Slimme Plantenverlichting voor Kamerplanten, Kw","1","amazon.nl","Amazon","Hasselt","","3500","94,09","1,24","0","-1,24","19,76","-19,76","-17,08","-7,78","0","0","69,23","Uitgebracht","15 apr 2026 20:23:49 UTC"
