"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"fecha/hora: fecha y hora de publicación de la transacción"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"Nota: Los informes con fecha de inicio del 1 de enero de 2025 o posterior se indexan por fecha de publicación, incluyen las transacciones liberadas y diferidas y tienen dos nuevas columnas. Es posible que tengas que actualizar las integraciones o asignaciones de terceros."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total","Estado de la transacción","Fecha de liberación de la transacción"
"31 mar 2026 23:40:33 UTC","26822401742","Pedido","403-9013103-0377166","306143-0616-EU","VIVOSUN Filtro de Carbón Activo 150mm | Con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Ventiladore","1","amazon.es","Amazon","Madrid","Comunidad de Madrid","28020","MarketplaceFacilitator","70,24","14,75","1,64","0,35","0","0","-1,64","-0,35","-14,75","-12,75","-5,71","-0,38","0","51,40","Liberada","8 abr 2026 7:16:49 UTC"
"1 abr 2026 0:58:56 UTC","26822401742","Pedido","171-2919941-5033963","VSGB-25-EU-M","VIVOSUN Bolsa de Cultivo 5 Unidades 95 L, Grow Bags de Tela No Tejida 500 g/m² con Asas y Anillas Multiusos, Ideales para LST, Frutas, Verduras y Flo","1","amazon.es","Vendedor","Baza","Granada","18800","MarketplaceFacilitator","28,92","6,07","0","0","0","0","0","0","-6,07","-5,25","0","-0,16","0","23,51","Liberada","14 abr 2026 21:27:03 UTC"
"1 abr 2026 0:59:52 UTC","26822401742","Pedido","405-4162805-2719517","304113-NEW-44-EU","VIVOSUN Armario de Cultivo Interior 120x120x200cm, Indoor Hydroponic Zelt Opaco con Ventana Reflectante Mylar Bandeja Base Estructura Estable Cultivo","1","amazon.es","Vendedor","Baza","Granada","18800","","189,99","0","0","0","0","0","0","0","0","-28,50","0","-0,86","0","160,63","Liberada","14 abr 2026 17:30:26 UTC"
"1 abr 2026 1:03:47 UTC","26822401742","Pedido","403-9073493-1289102","VS-THB1S-EU-FBM","VIVOSUN AeroLab THB1S Termómetro Higrómetro Inalámbrico Bluetooth Para Interiores, Medidor de Humedad y Temperatura Digital VPD, LCD, Control y Ale","1","amazon.es","Vendedor","zaragoza","zaragoza","50001","MarketplaceFacilitator","21,48","4,51","0","0","0","0","0","0","-4,51","-3,38","0","-0,10","0","18,00","Liberada","20 abr 2026 22:05:59 UTC"
"1 abr 2026 2:32:41 UTC","26822401742","Pedido","402-6061789-5427548","LH-001-EU","VIVOSUN 1 Par de Perchas Ajustables de 1/8 Pulgadas, Colgador de Cuerda Resistente con Engranajes de Metal Reforzados, Cuerda de 8 Pies de Largo y Cap","3","amazon.es","Amazon","Barcelona","Barcelona","08024","MarketplaceFacilitator","23,94","5,04","0","0","0","0","0","0","-6,72","-5,80","-9,69","-0,17","0","6,60","Liberada","9 abr 2026 21:11:21 UTC"
"1 abr 2026 2:32:41 UTC","26822401742","Pedido","402-6061789-5427548","LH-001-EU","VIVOSUN 1 Par de Perchas Ajustables de 1/8 Pulgadas, Colgador de Cuerda Resistente con Engranajes de Metal Reforzados, Cuerda de 8 Pies de Largo y Cap","1","amazon.es","Amazon","Barcelona","Barcelona","08024","","7,98","1,68","0","0","0","0","0","0","0","0","-3,23","0","0","6,43","Liberada","9 abr 2026 21:11:21 UTC"
"1 abr 2026 4:10:54 UTC","26822401742","Reembolso","405-9409304-7937909","VSE-ASH09-EU-M","VIVOSUN Humidificador para Plantas 9L Smart, AeroStream H09 con Niebla Fría 360°, 60H de Uso, Rellenado Superior, Ultrasonidos, Control Inteligente,","1","amazon.es","Vendedor","Rafelguaraf","Comunidad Valenciana","46666","MarketplaceFacilitator","-99,17","-20,82","0","0","0","0","0","0","20,82","14,40","0","0,54","0","-84,23","Liberada","20 abr 2026 22:24:55 UTC"
"1 abr 2026 14:19:52 UTC","26822401742","Pedido","408-7747924-3972336","304113-P276-EU","VIVOSUN Pro Tienda de Cultivo 80x80x160 cm, Armario de Cultivo Interior con Tubos Metálicos de 22 mm, Tela Oxford y Mylar Reflectante, Carpa Hidropó","1","amazon.es","Amazon","VALENCIA","VALENCIA","46022","MarketplaceFacilitator","138,43","29,07","0","0","0","0","0","0","-29,07","-25,13","-10,29","-0,75","0","102,26","Liberada","9 abr 2026 23:22:25 UTC"
"1 abr 2026 19:25:44 UTC","26732720862","Reembolso","408-4798378-8134743","VSF-AWD4x2-EU","VIVOSUN Pack de 2 Ventiladores de Pinza Oscilantes AeroWave D4 10cm para Cultivo, 3 Velocidades, Flujo de Aire Fuerte y Silencioso, Ángulo Ajustable,","1","amazon.es","Amazon","Bélmez","Cordoba","14240","MarketplaceFacilitator","-35,53","-7,46","0","0","0","0","0","0","7,46","5,16","0","0,19","0","-30,18","Liberada","1 abr 2026 19:25:44 UTC"
"1 abr 2026 21:54:07 UTC","26822401742","Pedido","406-7752965-4593159","311001-30x5-EU","VIVOSUN Bolsa de Cultivo 5 Unidades 115 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Amazon","Sevilla","Sevilla","41007","MarketplaceFacilitator","31,40","6,59","0","0","0","0","0","0","-6,59","-5,70","-10,77","-0,17","0","14,76","Liberada","10 abr 2026 23:56:58 UTC"
