"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2026-04-15T06:01:01+00:00","8183210662",,"302-7546374-9757119","CustomerReturn","330301-EU","X00247HY3B","B09SZ9VS93","VIVOSUN Heizmatte Pflanzen 25,4x52,7cm mit Temperaturregler, Wasserdichte Pflanzen-Wärmematte UL & MET Zertifiziert, Setzling Heizmatte für Keimung, Hydrokultur, Zucht und Gewächshaus","NewItem","EUR","25.53","25.53","1","0","1",,
"2026-04-13T13:08:04+00:00","8177119232",,"304-1193557-9427511","CustomerReturn","CBIN-BL-43J-EU","X0023SUF0Z","B08346W5S6","VIVOSUN Trommelkomposter 163L, Drehbarer Schnellkomposter mit 2 Kammern, Robuster Kunststoff Gartenkomposter mit Lüftungsöffnungen & Wasserdichten Gartenhandschuhen für Gartenabfälle","NewItem","EUR","55.10","55.10","1","0","1",,
"2026-04-13T11:39:12+00:00","8177389812",,"028-6009537-8992348","CustomerReturn","VSF-AWD4Wx2-EU","X0023LHG9P","B0CN32T8J9","VIVOSUN AeroWave D4 10cm Grow Ventilator Clip Ventilator Grow mit Haken, 3 Stufen, Starker & Leiser Luftstrom,Luftstromwinkel Einstellbar für Hydrokultur, Zirkulation, Weiß, 2er-Pack","NewItem","EUR","21.08","21.08","1","0","1",,
"2026-04-12T23:23:43+00:00","8174984902",,"203-7218030-5317967","CustomerReturn","VS-THB1-UK","X0022PR5X9","B0BXP47DZP","VIVOSUN AeroLab THB1 Wireless Bluetooth Hygrometer Thermometer Indoor, Smart Temperature Monitor, VPD, Digital Humidity Meter, LCD Remote Control & Alert, Data Storage, Dual Channels, Battery Included","NewItem","GBP","5.72","5.72","1","0","1",,
"2026-04-11T23:59:53+00:00","8171333222",,"403-4916630-6297161","CustomerReturn","306143-0412-EU","X001VZSIFF","B01DXYMBU6","VIVOSUN Filtre à Charbon Actif 100mm Filtre à Charbon avec Préfiltre et Bride Réversible Filtre Charbon Purificateur d‘Air pour Ventilateur en Ligne et Tentes de Culture","NewItem","EUR","34.76","34.76","1","0","1",,
"2026-04-11T01:53:05+00:00","8167124462",,,"Lost_Warehouse","311003-5-EU","X001W1HJ2B","B06Y1XVD1P","VIVOSUN Confezione 1 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiaderente Titanio Forbici da Rose Blu","NewItem","EUR","2.37","2.37","1","0","1",,
"2026-04-11T01:36:43+00:00","8167576422",,"302-0996610-2773941","CustomerReturn","306201PVC-6-EU","X001YYT375","B07SG989NY","VIVOSUN Lüftungsset 150mm Rohrventilator 663m³/h Abluftventilator mit Drehzahlregler 150mm Aktivkohlefilter 240cm Luftkanal Temperatur-Luftfeuchtigkeitsmesser für Growzelte und Hydroponik","NewItem","EUR","68.74","68.74","1","0","1",,
"2026-04-10T09:05:29+00:00","8164886622",,"303-6014243-0835535","CustomerReturn","306143-0616-EU","X001VZO4UN","B01731MLFK","VIVOSUN Aktivkohlefilter Grow Aktivkohlefilter 150mm/6 Inch Geruchskontrolle mit Australischer Aktivkohle inkl. Vorfilter für Indoor Growzelt Growbox Rohrventilator Gewächshaus","NewItem","EUR","36.37","36.37","1","0","1",,
"2026-04-10T07:53:30+00:00","8164309032",,"403-1583549-5697116","CustomerReturn","304113-42-EU","X001VHE5Z5","B01DXYMQ9M","VIVOSUN Armario de Cultivo Interior 120x60x150cm, Indoor Hydroponic Zelt Opaco con Ventana Reflectante Mylar Bandeja Base Estructura Estable Cultivo Interior Invernadero Plantas","NewItem","EUR","72.64","72.64","1","0","1",,
"2026-04-09T16:22:43+00:00","8162665882",,"303-0384637-0272311","CustomerReturn","VSF-AWD4Wx2-EU","X0023LHG9P","B0CN32T8J9","VIVOSUN AeroWave D4 10cm Grow Ventilator Clip Ventilator Grow mit Haken, 3 Stufen, Starker & Leiser Luftstrom,Luftstromwinkel Einstellbar für Hydrokultur, Zirkulation, Weiß, 2er-Pack","NewItem","EUR","21.08","21.08","1","0","1",,
