"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2026-05-15T06:15:34+00:00","402-0563247-2929160","VSF-AWD4-EU","B0CMYX2H9Q","X0023L9EWR","VIVOSUN Ventilatore Da 10 cm AeroWave D4, Con Gancio Removibile, Flusso Potente E Silenzioso, 3 Velocità, Angolo Aggiustabile, Per Idroponica, Circolazione Aria E Raffreddamento Nero","1","MXP5","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNWE401426914",
"2026-05-14T23:34:23+00:00","408-7054526-6569929","311003-5-EU","B06Y1XVD1P","X001W1HJ2B","VIVOSUN Tijeras de Jardín 17cm Tijeras de Plantas con Mangos Ergonomicos Tijeras de Poda con Cuchillas Rectas y Revestimiento Antiadherente Titanio Tijeras para Rosas Azul, 1 Paquete","1","WRO1","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNWE402818628",
"2026-05-14T18:18:56+00:00","028-4368228-3322744","TN-44-EU","B0BY2JKXC7","X0022GVOSP","VIVOSUN Ranknetz für Kletterpflanzen 120x120 cm Elastisches Pflanzennetz, Scrog Netz mit 4 Haken, Grow Netz für Kletterpflanzen, Tomaten, Gurken, Gemüse und Blumen","1","LCJ4","SELLABLE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNHK545643307","Netz ist nicht straff genug"
"2026-05-14T16:48:06+00:00","028-1890864-5933958","LH-001-EU","B0BTM3RC2G","X001WTJDQX","VIVOSUN 2er-Pack 1/8 Zoll Verstellbarer Seilaufhänger für Grow Light, Schwerlast-Aufhänger mit verstärkten Metallzahnrädern, Ratschenhaken für Rohrventilator, Filter und andere Grow Room-Produkte","1","LCJ4","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNHK518321448","Nö"
"2026-05-14T16:37:55+00:00","028-1890864-5933958","LH-001-EU","B0BTM3RC2G","X001WTJDQX","VIVOSUN 2er-Pack 1/8 Zoll Verstellbarer Seilaufhänger für Grow Light, Schwerlast-Aufhänger mit verstärkten Metallzahnrädern, Ratschenhaken für Rohrventilator, Filter und andere Grow Room-Produkte","1","LCJ4","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNHK518282254","Nö"
"2026-05-14T14:07:27+00:00","304-7334531-6909140","GIY-SGS-276-EU","B0BY7SRP8R","X001YT9DRF","VIVOSUN Smart Growzelt Komplettset 80x80x160cm, mit LED Grow Lampe Vollspektrum150W, Ventilation und Zirkulation und GrowHub E42A Controller, WLAN-integriertes Growzelt Kit Hydroponics Growing Tent","1","WRO1","SELLABLE","UNDELIVERABLE_REFUSED","Unit returned to inventory","LPNHK482585393",
"2026-05-14T06:13:38+00:00","304-7734809-1431511","VSH-IS03-EU","B0BXD9RK42","X001Z5PQDD","VIVOSUN Solar Automatische Tropfbewässerung Set mit Zeituhr, 3W Ausgang, Solarbetriebenes Bewässerungssystem für 15 Töpfe, ideal für Garten, Balkon, Terrasse und Zimmerpflanzen","1","BTS2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNHe071005163",
"2026-05-14T04:43:53+00:00","303-7421334-6609946","VSV-AZG6E42AP-EU","B0C6QKDG53","X002CUEYA1","VIVOSUN Smart Rohrventilator 150mm Abluftventilator AeroZesh G6 660m³/h mit EC-Motor und GrowHub E42A+ VPD-Regler, WiFi/App-Fernsteuerung Ventilator Growbox Rohrlüfter Kühlung,Growzelte, Hydroponik","1","LCJ4","CARRIER_DAMAGED","FOUND_BETTER_PRICE","Reimbursed","LPNHK521682284",
"2026-05-13T21:43:17+00:00","407-2645480-1957111","311003-4X2NJ-EU","B087CPSL1H","X0021P8V2T","VIVOSUN Lot de 2 Sécateur de Jardin 17 cm, Poignée Ergonomique, Lame Droite en Acier Inoxydable avec Revêtement en Titane, Poignée Verrouillable, Convient aux Fleurs, Roses, Fruits et Plantes, Orange","1","BTS2","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNHe059005283",
"2026-05-13T19:45:47+00:00","206-7005534-5569142","306101S-8-UK","B01CTM0LLO","X0022UCQOR","VIVOSUN Inline Duct Fan 8 Inch 740 CFM with Variable Speed Control for Grow Tent, Ventilation, Plant Tent, Indoor, Garden, Ventilation Fan, Z8 Pipe Fan, Black","1","LBA2","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNIC171344763","Not what i need"
