"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"7 Apr 2026 1:21:40 am GMT+9","10208464603","Fulfilment by Amazon inventory fee","","","FBA storage fee","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-0.04","-0.04","Released","7 Apr 2026 1:21:40 am GMT+9"
"7 Apr 2026 4:20:04 pm GMT+9","10208464603","Transfer","","","Micro Deposit","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-0.01","-0.01","Released","7 Apr 2026 4:20:04 pm GMT+9"
"14 Apr 2026 7:12:47 pm GMT+9","10208662943","Transfer","","","To account ending with: 654","","","","","","","0","0","0","0","0","0","0","0","0","-22,195.21","-22,195.21","Released","14 Apr 2026 7:12:47 pm GMT+9"
"15 Apr 2026 9:58:14 am GMT+9","10208662943","Order","503-2579764-0158208","311001-25x5NJ-AU-FBM","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","ORMEAU HILLS","QLD","4208","42.99","0","0","0","0","0","-4.51","0","0","0","38.48","Released","24 Apr 2026 7:56:03 am GMT+9"
"17 Apr 2026 6:19:13 pm GMT+9","12324440073","Order","250-2792197-8807062","311001-1x5NJ-AU-FBM","VIVOSUN 5-Pack 1 Gallon Heavy Duty Thickened Nonwoven Fabric Pots Grow Bags with Handles","1","amazon.com.au","Seller","NORTH MELBOURNE","VIC","3051","21.99","0","0","0","0","0","-2.31","0","0","0","19.68","Released","30 Apr 2026 5:38:51 pm GMT+9"
"18 Apr 2026 9:57:50 am GMT+9","12324440073","Order","503-2128344-8338253","311001-30x5NJ-AU-FBM","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","SOUTH MAROOTA","NSW","2756","47.99","0","0","0","0","0","-5.04","0","0","0","42.95","Released","2 May 2026 1:18:41 am GMT+9"
"18 Apr 2026 9:58:17 am GMT+9","12324440073","Order","249-8268873-9340636","304113-2014-AU-FBM","VIVOSUN Small Grow Tent for Aerogarden, Hydroponics Growing System, 20''x14''x21'' Highly Reflective Mylar Indoor Grow Tent with Sealed Bottom Design,","1","amazon.com.au","Seller","DARRA","QLD","4076","54.00","0","0","0","0","0","-5.67","0","0","0","48.33","Released","29 Apr 2026 7:10:38 am GMT+9"
"20 Apr 2026 10:07:10 am GMT+9","12324440073","Order","250-0123817-4580634","311001-10x5NJ-AU-FBM","VIVOSUN 5-Pack 10 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","BENOWA","QLD","4217","34.99","0","0","0","0","0","-3.67","0","0","0","31.32","Released","1 May 2026 1:54:27 pm GMT+9"
"20 Apr 2026 10:07:14 am GMT+9","12324440073","Order","250-5245467-0952661","311001-30x5NJ-AU-FBM","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","NELSON BAY","NSW","2315","47.99","0","0","0","0","0","-5.04","0","0","0","42.95","Released","30 Apr 2026 4:57:58 am GMT+9"
"20 Apr 2026 10:12:53 am GMT+9","10208662943","Order","250-6843284-6739801","311001-25x5NJ-AU-FBM","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","2","amazon.com.au","Seller","NAKARA","NT","0810","85.98","0","0","0","0","0","-9.02","0","0","0","76.96","Deferred",
"20 Apr 2026 7:31:11 pm GMT+9","12324440073","Order","503-4688599-7791035","311001-30x5NJ-AU-FBM","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","LENNOX HEAD","NSW","2478","47.99","0","0","0","0","0","-5.04","0","0","0","42.95","Released","30 Apr 2026 10:44:57 am GMT+9"
"22 Apr 2026 10:25:07 am GMT+9","10208662943","Order","250-7307058-0969419","304113-32-AU-FBM","VIVOSUN S326 36""x20""x63"" Grow Tent, High Reflective Mylar with Observation Window and Floor Tray for Hydroponics Indoor Plant for VS1000/VS2000","1","amazon.com.au","Seller","MADELEY","WA","6065","148.99","0","0","0","0","0","-15.64","0","0","0","133.35","Deferred",
"22 Apr 2026 12:40:05 pm GMT+9","10208662943","Order","249-0973925-8410235","311001-20x5NJ-AU-FBM","VIVOSUN 5-Pack 20 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","SINGLETON","WA","6175","49.99","0","0","0","0","0","-5.25","0","0","0","44.74","Deferred",
"23 Apr 2026 2:07:00 pm GMT+9","12324440073","Order","503-7588556-0424646","311001-30x5NJ-AU-FBM","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","POINT COOK","VIC","3030","47.99","0","0","0","0","0","-5.04","0","0","0","42.95","Released","4 May 2026 11:24:35 am GMT+9"
"24 Apr 2026 9:58:13 am GMT+9","12324440073","Order","503-3131899-4189451","311001-30x5NJ-AU-FBM","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","BEACON HILL","NSW","2100","50.99","0","0","0","0","0","-5.35","0","0","0","45.64","Released","5 May 2026 3:11:53 pm GMT+9"
